id_zapisi,data,vremya,filial,master,usluga,cena,id_klienta,kanal_zapisi,status
42,2026-01-03,12:30,Заречная,Марк Дёмин,Камуфляж седины,1440,5252,онлайн,выполнена
43,03.01.2026,13:15,Заречная,Марк Дёмин,Стрижка мужская,1400,5406,онлайн,выполнена
44,03.01.2026,14:15,Заречная,Марк Дёмин,Стрижка + борода,1680,5829,онлайн,выполнена
45,03.01.2026,17:45,Центр,Лев Гаврилов,Камуфляж седины,1600,5995,без записи,выполнена
46,03.01.2026,10:00,Центр,Артём Соколов,Стрижка + борода,2100,6065,онлайн,выполнена
47,2026-01-03,11:00,Заречная,Тимур Аскеров,Стрижка мужская,1400,5490,телефон,выполнена
48,03.01.2026,15:00,Заречная,Марк Дёмин,Оформление бороды,900,5202,онлайн,выполнена
49,03.01.2026,16:15,Центр,Артём Соколов,Стрижка + борода,2100,6375,телефон,выполнена
50,03.01.2026,18:00,Северный,Олег Рыбак,Бритьё опасной бритвой,1430,6014,онлайн,выполнена
51,03.01.2026,14:30,Северный,Роман Швец,Оформление бороды,990,5561,онлайн,выполнена
52,2026-01-03,13:15,Центр,Лев Гаврилов,Стрижка мужская,1400,5606,без записи,выполнена
53,03.01.2026,11:00,Заречная,Марк Дёмин,Оформление бороды,990,5180,онлайн,выполнена
54,2026-01-03,18:00,Северный,Олег Рыбак,Стрижка мужская,"1190,00",5963,онлайн,выполнена
55,2026-01-03,14:45,Центр,Лев Гаврилов,Камуфляж седины,1600,6059,телефон,выполнена
56,03.01.2026,17:30,Центр,Артём Соколов,Оформление бороды,900,5484,онлайн,выполнена
57,04.01.2026,17:45,Северный,Данила Ким,Стрижка + борода,1680,5539,онлайн,выполнена
58,04.01.2026,17:30,Центр,иван петров,Стрижка мужская,1540,6021,онлайн,выполнена
59,04.01.2026,18:00,Центр,Артём Соколов,Оформление бороды,"990,00",6034,без записи,выполнена
60,04.01.2026,15:00,Центр,Артём Соколов,Стрижка мужская,1400,6393,онлайн,выполнена
61,04.01.2026,20:15,Северный,Данила Ким,Стрижка мужская,1400,6305,телефон,выполнена
62,04.01.2026,17:15,Центр,Артём Соколов,Стрижка мужская,1400,5820,онлайн,выполнена
63,04.01.2026,15:30,Центр,Иван П.,Оформление бороды,900,6063,онлайн,выполнена
64,04.01.2026,10:30,Северный,Роман Швец,Камуфляж седины,"1600,00",5922,онлайн,выполнена
65,04.01.2026,10:30,Центр,иван петров,Стрижка + борода,2100,6412,без записи,выполнена
66,2026-01-04,16:30,Заречная,Марк Дёмин,Стрижка мужская,1540,5261,телефон,выполнена
67,04.01.2026,19:30,Северный,Д. Ким,Стрижка мужская,1540,5767,онлайн,выполнена
68,2026-01-04,13:15,Северный,Олег Рыбак,Камуфляж седины,1360,5267,без записи,выполнена
69,04.01.2026,12:00,Центр,Лев Гаврилов,Камуфляж седины,"1600,00",5558,без записи,отменена
70,2026-01-04,13:45,Заречная,Марк Дёмин,Оформление бороды,900,5080,онлайн,выполнена
71,04.01.2026,19:45,Центр,иван петров,Стрижка детская,1000 р.,5789,онлайн,отменена
72,04.01.2026,19:45,Центр,иван петров,Стрижка + борода,"2100,00",5617,онлайн,выполнена
73,04.01.2026,12:30,Центр,иван петров,Стрижка мужская,1400,6005,онлайн,выполнена
74,04.01.2026,11:00,Центр,Артём Соколов,Стрижка мужская,1400 р.,6444,онлайн,выполнена
75,05.01.2026,18:30,Центр,Артём Соколов,Оформление бороды,900,5516,онлайн,выполнена
76,05.01.2026,18:30,Северный,Д. Ким,Стрижка мужская,"1400,00",5257,без записи,выполнена
77,2026-01-05,15:45,Северный,Олег Рыбак,Оформление бороды,810,5366,телефон,выполнена
78,05.01.2026,19:45,Северный,Д. Ким,Камуфляж седины,1600,5074,телефон,выполнена
79,2026-01-05,19:45,Заречная,Марк Дёмин,Стрижка мужская,1400,5570,онлайн,выполнена
80,05.01.2026,14:00,Заречная,Марк Дёмин,Стрижка + борода,2100 р.,5750,телефон,выполнена
81,05.01.2026,18:45,Центр,Иван Петров,Стрижка мужская,1400,5850,онлайн,выполнена
82,05.01.2026,17:00,Центр,Иван Петров,Стрижка детская,1000 р.,5193,онлайн,выполнена
83,06.01.2026,18:30,Северный,Олег Рыбак,Стрижка мужская,1400,6014,без записи,выполнена
84,06.01.2026,19:00,Центр,Лев Гаврилов,Стрижка мужская,1400,5035,телефон,выполнена
85,06.01.2026,14:00,Центр,Иван П.,Камуфляж седины,1600,5786,онлайн,выполнена
86,06.01.2026,16:45,Центр,Артём Соколов,Стрижка мужская,1400,6019,телефон,выполнена
87,06.01.2026,16:15,Центр,Артём Соколов,Камуфляж седины,1600,5144,онлайн,выполнена
88,2026-01-06,13:30,Заречная,Марк Дёмин,Оформление бороды,900,6288,онлайн,выполнена
89,06.01.2026,15:00,Заречная,Тимур А.,Стрижка + борода,2100,5066,онлайн,выполнена
90,06.01.2026,18:45,Северный,Роман Швец,Стрижка мужская,1400,5144,онлайн,выполнена
91,06.01.2026,14:15,Центр, Иван Петров,Стрижка мужская,1400 р.,5702,онлайн,выполнена
92,06.01.2026,16:45,Северный,Олег Рыбак,Стрижка мужская,1400,5148,онлайн,выполнена
93,2026-01-06,15:15,Центр,Иван Петров,Стрижка мужская,1400,5241,без записи,выполнена
94,2026-01-07,13:45,Заречная,ТИМУР АСКЕРОВ,Оформление бороды,900,6020,телефон,выполнена
95,07.01.2026,14:30,Центр,Артём Соколов,Стрижка мужская,1400 р.,6250,телефон,выполнена
96,07.01.2026,11:30,Северный,Роман Швец,Стрижка мужская,1400,5412,онлайн,выполнена
97,07.01.2026,19:00,Заречная,Марк Дёмин,Стрижка мужская,1400,5932,онлайн,выполнена
98,2026-01-07,14:00,Центр,Артём Соколов,Оформление бороды,900,5502,без записи,отменена
99,07.01.2026,16:15,Северный,Олег Рыбак,Оформление бороды,900,5141,телефон,отменена
100,07.01.2026,16:45,Центр, Иван Петров,Стрижка мужская,1190,6241,онлайн,отменена
101,07.01.2026,13:15,Заречная,Марк Дёмин,Оформление бороды,720,5293,без записи,выполнена
102,07.01.2026,19:45,Заречная,Тимур Аскеров,Стрижка + борода,2100,5033,телефон,выполнена
103,07.01.2026,11:15,Центр,Лев Гаврилов,Стрижка + борода,2100,5479,без записи,выполнена
104,08.01.2026,19:15,Центр,Иван Петров,Стрижка мужская,1400 р.,5495,телефон,выполнена
105,08.01.2026,16:00,Северный,Роман Швец,Стрижка мужская,"1400,00",5026,онлайн,выполнена
106,08.01.2026,14:45,Центр,Иван Петров,Камуфляж седины,1600,5906,онлайн,выполнена
107,08.01.2026,15:45,Заречная,Тимур А.,Стрижка мужская,1260,5468,онлайн,выполнена
108,08.01.2026,18:45,Центр,Артём Соколов,Стрижка мужская,1400,5765,телефон,выполнена
109,2026-01-08,17:30,Центр,Иван Петров,Стрижка + борода,2100,5471,без записи,выполнена
110,08.01.2026,17:00,Заречная,Марк Дёмин,Стрижка мужская,1400,6365,онлайн,выполнена
111,08.01.2026,17:30,Северный,Олег Рыбак,Оформление бороды,900,5046,онлайн,выполнена
112,08.01.2026,12:00,Заречная,ТИМУР АСКЕРОВ,Стрижка детская,1000,5033,онлайн,выполнена
113,08.01.2026,17:00,Центр,Лев Гаврилов,Оформление бороды,900,5814,телефон,выполнена
114,08.01.2026,16:00,Северный,Олег Рыбак,Бритьё опасной бритвой,1300,5774,онлайн,выполнена
115,08.01.2026,14:00,Заречная,ТИМУР АСКЕРОВ,Стрижка детская,1000,6440,телефон,выполнена
116,08.01.2026,11:45,Центр,Лев Гаврилов,Стрижка мужская,1400,5674,онлайн,выполнена
117,08.01.2026,13:45,Центр,Лев Гаврилов,Стрижка мужская,1400,5934,онлайн,выполнена
118,2026-01-09,16:45,Центр,Иван П.,Стрижка + борода,1680,5731,онлайн,выполнена
119,09.01.2026,15:30,Центр,иван петров,Стрижка машинкой,700,5305,телефон,выполнена
120,09.01.2026,11:00,Центр,Артём Соколов,Стрижка мужская,1400,5498,онлайн,выполнена
121,09.01.2026,18:30,Северный,Олег Рыбак,Оформление бороды,900,6209,телефон,выполнена
122,09.01.2026,15:15,Северный,Данила Ким,Стрижка + борода,2100 р.,5294,без записи,выполнена
123,09.01.2026,12:00,Центр,Артём Соколов,Стрижка мужская,1400,5742,онлайн,выполнена
124,09.01.2026,15:45,Заречная,Марк Дёмин,Стрижка + борода,"2100,00",6444,без записи,выполнена
125,2026-01-09,13:30,Центр,Лев Гаврилов,Стрижка мужская,"1400,00",6109,телефон,выполнена
126,2026-01-09,20:00,Заречная,Тимур А.,Стрижка + борода,"1680,00",5322,телефон,выполнена
127,2026-01-09,18:00,Заречная,Тимур А.,Стрижка + борода,2100,5074,онлайн,выполнена
128,2026-01-09,16:30,Северный,Олег Рыбак,Стрижка + борода,2100,5721,онлайн,выполнена
129,09.01.2026,17:30,Северный,Данила Ким,Стрижка мужская,1400 р.,6177,телефон,выполнена
130,09.01.2026,11:15,Центр,иван петров,Стрижка мужская,1400 р.,6220,без записи,выполнена
131,09.01.2026,13:15,Северный,Данила Ким,Оформление бороды,"900,00",5762,онлайн,выполнена
132,09.01.2026,13:45,Центр,Лев Гаврилов,Стрижка мужская,1400,5653,онлайн,выполнена
133,2026-01-09,20:45,Заречная,Тимур Аскеров,Оформление бороды,900,5950,онлайн,выполнена
134,09.01.2026,19:45,Заречная,Марк Дёмин,Стрижка + борода,1890 р.,6079,телефон,выполнена
135,09.01.2026,14:00,Северный,Д. Ким,Стрижка мужская,1400,6009,без записи,выполнена
136,09.01.2026,15:00,Северный,Олег Рыбак,Стрижка детская,1000 р.,5812,телефон,выполнена
137,09.01.2026,13:00,Заречная ,ТИМУР АСКЕРОВ,Стрижка + борода,2100,5086,онлайн,выполнена
138,2026-01-10,16:30,Заречная,Марк Дёмин,Стрижка + борода,2100,6007,онлайн,выполнена
139,10.01.2026,17:15,Центр,Лев Гаврилов,Стрижка мужская,1260,5696,телефон,выполнена
140,10.01.2026,15:45,Заречная,Тимур А.,Оформление бороды,765 р.,6295,онлайн,выполнена
141,10.01.2026,11:45,Заречная,Марк Дёмин,Стрижка мужская,1540 р.,5522,без записи,выполнена
142,10.01.2026,16:15,Центр,Иван П.,Оформление бороды,900,6413,телефон,выполнена
143,2026-01-10,13:00,Центр,Лев Гаврилов,Стрижка мужская,1400,6348,телефон,выполнена
144,10.01.2026,14:15,Центр,Лев Гаврилов,Бритьё опасной бритвой,1430 р.,5536,телефон,выполнена
145,10.01.2026,20:45,Северный,Роман Швец,Стрижка + борода,1680,5267,онлайн,выполнена
146,2026-01-10,18:00,Центр,Артём Соколов,Стрижка + борода,1785,6406,телефон,выполнена
147,10.01.2026,14:45,Северный,Роман Швец,Стрижка мужская,1400,5010,онлайн,выполнена
148,10.01.2026,15:45,Центр, Иван Петров,Стрижка мужская,1540,5384,телефон,выполнена
149,10.01.2026,17:00,Северный,Роман Швец,Стрижка мужская,1400,5388,без записи,выполнена
150,2026-01-10,11:00,Центр,Лев Гаврилов,Стрижка мужская,"1400,00",5570,телефон,выполнена
151,10.01.2026,18:15,Северный,Роман Швец,Стрижка + борода,2100,5051,онлайн,выполнена
152,10.01.2026,17:15,Центр,Лев Гаврилов,Оформление бороды,"900,00",5997,телефон,выполнена
153,10.01.2026,13:00,Заречная,Тимур А.,Бритьё опасной бритвой,"1300,00",5549,телефон,выполнена
154,10.01.2026,17:45,Центр,Лев Гаврилов,Оформление бороды,900,6034,без записи,выполнена
155,10.01.2026,17:15,Заречная,ТИМУР АСКЕРОВ,Стрижка + борода,2100,5175,онлайн,выполнена
156,2026-01-10,20:45,Центр,Лев Гаврилов,Стрижка мужская,1540,5649,онлайн,отменена
157,10.01.2026,12:00,Центр,Артём Соколов,Стрижка + борода,2100,5355,онлайн,выполнена
158,2026-01-10,16:45,Северный,Роман Швец,Стрижка + борода,2100,5201,телефон,выполнена
159,10.01.2026,18:15,Центр,иван петров,Оформление бороды,900,6194,без записи,выполнена
160,10.01.2026,19:00,Заречная,Марк Дёмин,Стрижка мужская,1400,5542,онлайн,отменена
161,10.01.2026,18:00,Северный,Роман Швец,Бритьё опасной бритвой,1300,5624,телефон,выполнена
162,10.01.2026,12:15,Северный,Роман Швец,Бритьё опасной бритвой,1300,6387,онлайн,выполнена
163,10.01.2026,19:00,Центр,Артём Соколов,Оформление бороды,990,6394,без записи,выполнена
164,10.01.2026,18:15,Центр, Иван Петров,Стрижка мужская,"1400,00",5090,онлайн,выполнена
165,11.01.2026,15:15,Центр,Иван П.,Стрижка мужская,1260,5171,телефон,выполнена
166,11.01.2026,15:30,Заречная,Тимур Аскеров,Стрижка + борода,2100,6084,онлайн,выполнена
167,2026-01-11,19:45,Заречная,ТИМУР АСКЕРОВ,Стрижка мужская,1540,5932,онлайн,выполнена
168,11.01.2026,14:30,Северный,Д. Ким,Стрижка + борода,2100,5155,без записи,выполнена
169,11.01.2026,18:00,Заречная,ТИМУР АСКЕРОВ,Стрижка мужская,1400,5497,онлайн,выполнена
170,11.01.2026,13:30,Северный,Роман Швец,Стрижка + борода,2310,5906,онлайн,выполнена
171,11.01.2026,17:15,Северный,Роман Швец,Стрижка детская,1000,6321,без записи,выполнена
172,11.01.2026,19:30,Центр,Артём Соколов,Стрижка мужская,1400,6288,онлайн,выполнена
173,11.01.2026,19:00,Центр,иван петров,Стрижка мужская,1400 р.,6372,онлайн,выполнена
174,11.01.2026,20:30,Заречная,Марк Дёмин,Стрижка мужская,1400,5798,телефон,выполнена
175,11.01.2026,11:00,Центр,Иван П.,Оформление бороды,"900,00",5034,онлайн,выполнена
176,11.01.2026,19:45,Центр,Иван Петров,Стрижка мужская,1400,6141,онлайн,неявка
177,11.01.2026,19:45,Центр,Артём Соколов,Стрижка мужская,1400 р.,5574,онлайн,выполнена
178,2026-01-11,17:45,Центр,иван петров,Бритьё опасной бритвой,1300,5762,онлайн,выполнена
179,11.01.2026,18:15,Центр,Лев Гаврилов,Стрижка мужская,1400,5700,без записи,выполнена
180,11.01.2026,20:45,Северный,Данила Ким,Бритьё опасной бритвой,1300,6172,онлайн,выполнена
181,11.01.2026,17:00,Северный,Д. Ким,,1400,5259,онлайн,выполнена
182,2026-01-11,20:00,Центр, Иван Петров,Стрижка мужская,1540,6302,онлайн,выполнена
183,11.01.2026,18:15,Центр,Лев Гаврилов,Стрижка + борода,2100 р.,6343,онлайн,выполнена
184,11.01.2026,20:00,Северный,Д. Ким,Оформление бороды,900,6104,телефон,выполнена
185,2026-01-11,12:00,Центр,иван петров,Стрижка мужская,1400,5803,онлайн,выполнена
186,11.01.2026,16:30,Заречная,Марк Дёмин,Стрижка мужская,1540,6145,онлайн,выполнена
187,12.01.2026,11:30,Заречная,Марк Дёмин,Стрижка мужская,1400,5564,онлайн,выполнена
188,12.01.2026,15:00,Центр,Лев Гаврилов,Стрижка мужская,1400,5309,онлайн,выполнена
189,2026-01-12,10:15,Центр,Лев Гаврилов,Оформление бороды,900,5271,онлайн,выполнена
190,12.01.2026,11:15,Центр,Лев Гаврилов,Стрижка мужская,1260,5062,телефон,выполнена
191,12.01.2026,14:45,Северный,Олег Рыбак,Стрижка + борода,2100,5830,онлайн,выполнена
192,12.01.2026,13:30,Северный,Роман Швец,Стрижка детская,1000,5415,без записи,выполнена
193,12.01.2026,16:15,Северный,Олег Рыбак,Стрижка мужская,1400,5773,телефон,выполнена
194,13.01.2026,20:45,Центр,Артём Соколов,Стрижка + борода,2100,6288,телефон,выполнена
195,13.01.2026,14:00,Центр,Артём Соколов,Стрижка мужская,1400,5511,телефон,выполнена
196,13.01.2026,16:45,Северный,Данила Ким,Оформление бороды,900,5074,онлайн,выполнена
197,13.01.2026,16:00,Центр,Артём Соколов,Стрижка детская,1000,5951,онлайн,выполнена
198,13.01.2026,12:00,Заречная,Марк Дёмин,Стрижка мужская,1400,5781,онлайн,выполнена
199,13.01.2026,11:45,Центр,Иван Петров,Стрижка мужская,1400,5969,телефон,выполнена
200,13.01.2026,19:00,Заречная,Тимур А.,Стрижка детская,1000,5097,телефон,выполнена
201,13.01.2026,15:45,Заречная,Марк Дёмин,Стрижка мужская,1400,5191,онлайн,выполнена
202,13.01.2026,10:00,Центр,Артём Соколов,Стрижка + борода,2100,5219,онлайн,выполнена
203,14.01.2026,16:45,Заречная,Тимур А.,Оформление бороды,900,5428,онлайн,выполнена
204,2026-01-14,18:30,Центр,иван петров,Оформление бороды,900,5155,телефон,неявка
205,14.01.2026,17:15,Северный,Данила Ким,Бритьё опасной бритвой,1300,5062,онлайн,выполнена
206,14.01.2026,18:15,Центр, Иван Петров,Стрижка мужская,1120,6020,онлайн,выполнена
207,14.01.2026,14:00,Центр,Артём Соколов,Стрижка детская,1000,6231,онлайн,выполнена
208,14.01.2026,17:30,Заречная,Тимур Аскеров,Стрижка мужская,1400,5284,онлайн,выполнена
209,14.01.2026,15:30,Северный,Д. Ким,Стрижка + борода,1785,6433,онлайн,выполнена
210,14.01.2026,15:30,Заречная,Марк Дёмин,Стрижка + борода,2100 р.,5016,онлайн,выполнена
211,14.01.2026,16:00,Северный,Д. Ким,Стрижка + борода,2100,5578,без записи,выполнена
212,14.01.2026,14:00,Заречная,Тимур Аскеров,Стрижка мужская,"1400,00",6263,без записи,выполнена
213,2026-01-14,12:30,Центр,Лев Гаврилов,Оформление бороды,900,5884,телефон,отменена
214,2026-01-14,16:00,Северный,Олег Рыбак,Камуфляж седины,1360,5300,телефон,выполнена
215,14.01.2026,16:45,Центр,Иван П.,Стрижка + борода,2100,5468,телефон,выполнена
216,2026-01-15,20:00,Центр,Артём Соколов,Стрижка мужская,1400,5205,без записи,выполнена
217,15.01.2026,18:30,Северный,Данила Ким,Оформление бороды,900,6235,без записи,выполнена
218,15.01.2026,19:30,Северный,Роман Швец,Бритьё опасной бритвой,1300 р.,5153,онлайн,выполнена
219,15.01.2026,18:15,Северный,Олег Рыбак,Стрижка + борода,1680,6421,без записи,выполнена
220,15.01.2026,18:15,Центр,Артём Соколов,Стрижка детская,1000,5096,онлайн,выполнена
221,15.01.2026,12:30,Северный,Д. Ким,Оформление бороды,900 р.,5726,без записи,выполнена
222,2026-01-15,20:45,Заречная,Тимур Аскеров,,1000,5379,без записи,выполнена
223,15.01.2026,19:15,Заречная,Тимур А.,Стрижка + борода,1785,6299,без записи,выполнена
224,15.01.2026,11:45,Заречная,Тимур Аскеров,Оформление бороды,900,5812,онлайн,выполнена
225,15.01.2026,17:30,Заречная,Марк Дёмин,Бритьё опасной бритвой,1300,5803,онлайн,выполнена
226,15.01.2026,11:15,Центр,Артём Соколов,Стрижка мужская,1400,5223,без записи,выполнена
227,2026-01-15,14:15,Центр,Иван П.,Оформление бороды,900,5149,онлайн,выполнена
228,15.01.2026,20:15,Заречная,Марк Дёмин,Стрижка мужская,1120,5772,онлайн,выполнена
229,15.01.2026,16:45,Центр,Артём Соколов,Стрижка мужская,1400,5239,онлайн,выполнена
230,16.01.2026,11:45,Северный,Роман Швец,Стрижка мужская,1120,5123,онлайн,выполнена
231,16.01.2026,20:30,Центр,Артём Соколов,Оформление бороды,900,5401,без записи,выполнена
232,16.01.2026,11:00,Центр,Лев Гаврилов,Стрижка + борода,1890,6391,онлайн,выполнена
233,16.01.2026,12:15,Центр,Артём Соколов,,2100,5106,без записи,выполнена
234,16.01.2026,20:15,Северный,Роман Швец,Стрижка мужская,1400,6348,онлайн,выполнена
235,16.01.2026,14:45,Центр,Артём Соколов,Стрижка детская,1000,5920,телефон,выполнена
236,16.01.2026,11:00,Центр,Артём Соколов,Стрижка + борода,2100,5085,без записи,выполнена
237,16.01.2026,11:45,Центр,Иван П.,Стрижка мужская,1190,6150,телефон,отменена
238,16.01.2026,19:15,Центр,Лев Гаврилов,Оформление бороды,900,5443,онлайн,выполнена
239,2026-01-16,13:30,Северный,Роман Швец,Стрижка мужская,1400,5415,онлайн,выполнена
240,2026-01-16,19:00,Заречная,Марк Дёмин,Стрижка + борода,2100,5937,телефон,выполнена
241,16.01.2026,17:00,Северный,Олег Рыбак,Стрижка + борода,1785,5773,телефон,выполнена
242,16.01.2026,13:45,Заречная,Тимур А.,Стрижка мужская,1400,5537,онлайн,выполнена
243,16.01.2026,11:45,Заречная,Марк Дёмин,Стрижка + борода,2100,5379,телефон,выполнена
244,16.01.2026,18:15,Заречная,Марк Дёмин,Стрижка мужская,"1400,00",5709,телефон,выполнена
245,2026-01-16,13:15,Заречная,Марк Дёмин,Стрижка мужская,1400,5958,телефон,выполнена
246,16.01.2026,14:45,Северный,Данила Ким,Стрижка + борода,"2100,00",5582,онлайн,выполнена
247,16.01.2026,17:00,Северный,Д. Ким,Стрижка + борода,2100,6143,онлайн,выполнена
248,16.01.2026,13:00,Заречная,Тимур Аскеров,Стрижка + борода,2100,6398,телефон,выполнена
249,17.01.2026,16:15,Северный,Данила Ким,Стрижка мужская,1400,5175,телефон,выполнена
250,17.01.2026,16:30,Центр,Лев Гаврилов,Стрижка машинкой,700,5788,без записи,выполнена
251,17.01.2026,15:30,Заречная,ТИМУР АСКЕРОВ,Оформление бороды,765,5974,онлайн,выполнена
252,17.01.2026,12:15,Северный,Олег Рыбак,Оформление бороды,900,5182,без записи,выполнена
253,17.01.2026,18:45,Северный,Д. Ким,Стрижка мужская,1400,5008,онлайн,выполнена
254,17.01.2026,13:15,Центр,Артём Соколов,Стрижка + борода,2100,5347,телефон,выполнена
255,17.01.2026,20:45,Северный,Д. Ким,Стрижка + борода,2100,5525,онлайн,выполнена
256,2026-01-17,15:00,Центр,Иван П.,Стрижка мужская,1400,6332,онлайн,выполнена
257,17.01.2026,19:15,Заречная,Марк Дёмин,Стрижка + борода,2100,5070,онлайн,выполнена
258,17.01.2026,17:00,Заречная,Тимур Аскеров,Стрижка мужская,1400,5113,онлайн,выполнена
259,17.01.2026,17:30,Центр,Артём Соколов,Стрижка мужская,1540 р.,5932,телефон,выполнена
260,17.01.2026,19:15,Заречная,Марк Дёмин,Стрижка + борода,2100 р.,6019,без записи,выполнена
261,17.01.2026,13:00,Центр,иван петров,Оформление бороды,900,5888,телефон,выполнена
262,17.01.2026,16:30,Северный,Роман Швец,Стрижка мужская,1190,5449,без записи,выполнена
263,17.01.2026,18:45,Центр,иван петров,Стрижка + борода,1785,5756,онлайн,выполнена
264,17.01.2026,19:00,Заречная,ТИМУР АСКЕРОВ,Стрижка мужская,1540,5702,онлайн,выполнена
265,17.01.2026,16:00,Центр,Артём Соколов,Стрижка детская,1100,6237,онлайн,выполнена
266,17.01.2026,16:30,Заречная,ТИМУР АСКЕРОВ,Стрижка + борода,2100,5171,телефон,выполнена
267,17.01.2026,19:15,Центр,Артём Соколов,Стрижка мужская,1400,6266,телефон,отменена
268,17.01.2026,18:30,Северный,Д. Ким,Стрижка + борода,2100 р.,5057,онлайн,выполнена
269,17.01.2026,20:30,Северный,Олег Рыбак,Камуфляж седины,1360,6341,без записи,выполнена
270,17.01.2026,13:30,Северный,Роман Швец,Оформление бороды,900,5593,телефон,выполнена
271,17.01.2026,17:15,Заречная,Марк Дёмин,Стрижка мужская,1400,6130,без записи,выполнена
272,17.01.2026,14:45,Заречная,Марк Дёмин,Стрижка + борода,"2310,00",6220,телефон,выполнена
273,17.01.2026,17:30,Центр,Лев Гаврилов,Стрижка + борода,2310,5713,онлайн,выполнена
274,17.01.2026,13:15,Центр,Иван П.,Стрижка мужская,1400,5603,без записи,выполнена
275,18.01.2026,11:30,Северный,Данила Ким,Стрижка + борода,1785 р.,5820,онлайн,выполнена
276,2026-01-18,18:15,Центр,Лев Гаврилов,Стрижка мужская,1400,6131,телефон,выполнена
277,18.01.2026,18:45,Северный,Олег Рыбак,Стрижка мужская,1400,6382,онлайн,выполнена
