ride_id,user_id,distance_m,duration_min,ride_date
7454,570,3623.0,29.08,2025-05-09
8233,631,1701.4,14.23,2025-05-09
8512,653,4889.1,28.04,2025-05-09
8794,679,3012.8,19.4,2025-05-09
9406,714,4003.0,18.7,2025-05-09
9420,714,3895.4,29.17,2025-05-09
9802,742,3621.4,16.81,2025-05-09
10107,767,2299.5,17.01,2025-05-09
10837,812,674.4,11.24,2025-05-09
10917,817,4718.8,23.8,2025-05-09
11040,826,1897.0,14.5,2025-05-09
11460,861,2214.3,14.59,2025-05-09
11493,865,2648.3,20.15,2025-05-09
11756,882,3818.1,24.88,2025-05-09
11789,887,4600.8,22.2,2025-05-09
11814,887,3920.1,22.69,2025-05-09
12717,951,3908.6,25.05,2025-05-09
12723,952,1109.6,12.43,2025-05-09
13076,978,3352.2,25.2,2025-05-09
13718,1027,5544.6,42.48,2025-05-09
13861,1037,2904.0,17.54,2025-05-09
13922,1042,1231.0,10.82,2025-05-09
13947,1044,1820.0,18.98,2025-05-09
14061,1055,3473.2,19.86,2025-05-09
14353,1075,726.9,6.93,2025-05-09
14679,1096,2939.7,14.52,2025-05-09
15135,1126,3687.5,16.04,2025-05-09
15361,1142,3051.8,15.58,2025-05-09
15626,1159,1081.7,10.76,2025-05-09
15951,1176,827.3,5.68,2025-05-09
16156,1195,3192.9,13.89,2025-05-09
16210,1199,3701.9,21.39,2025-05-09
16225,1200,3628.3,22.22,2025-05-09
16255,1203,1899.6,10.3,2025-05-09
16555,1225,2745.1,16.61,2025-05-09
16672,1234,2943.6,20.23,2025-05-09
16688,1236,1550.5,13.08,2025-05-09
16910,1252,3536.5,22.68,2025-05-09
17443,1283,1936.6,9.19,2025-05-09
17953,1321,2536.2,16.22,2025-05-09
17970,1321,678.7,5.05,2025-05-09
18196,1334,2317.5,10.1,2025-05-09
19531,1438,1519.9,10.38,2025-05-09
19879,1467,2740.7,17.65,2025-05-09
20025,1475,2853.4,20.98,2025-05-09
259,20,2309.5,21.75,2025-05-10
444,36,1567.8,8.67,2025-05-10
545,43,2147.2,14.61,2025-05-10
1906,150,7211.1,36.14,2025-05-10
2467,194,5591.6,30.74,2025-05-10
3142,236,2700.7,16.39,2025-05-10
4780,369,4157.2,25.29,2025-05-10
5601,432,2361.4,18.6,2025-05-10
6782,520,2113.8,11.55,2025-05-10
6895,529,2007.5,13.97,2025-05-10
7128,547,4491.3,25.89,2025-05-10
7569,579,2670.2,18.36,2025-05-10
7918,606,1028.3,5.91,2025-05-10
8092,617,2033.2,21.71,2025-05-10
8803,679,2731.7,14.17,2025-05-10
10129,769,3143.8,20.96,2025-05-10
10629,796,1871.2,10.26,2025-05-10
10976,821,1489.0,9.05,2025-05-10
11297,848,4246.6,23.53,2025-05-10
11594,871,4020.7,28.52,2025-05-10
11922,896,2747.2,20.09,2025-05-10
12255,917,4571.7,20.51,2025-05-10
12838,960,1486.0,19.28,2025-05-10
13520,1013,1521.3,11.08,2025-05-10
13968,1047,3066.0,12.48,2025-05-10
15189,1129,3185.1,16.86,2025-05-10
16325,1207,4459.0,30.74,2025-05-10
16639,1230,1589.9,13.0,2025-05-10
16968,1255,1207.6,9.78,2025-05-10
17216,1270,4532.7,39.85,2025-05-10
17342,1276,4444.3,27.64,2025-05-10
17497,1289,4205.8,32.89,2025-05-10
17866,1316,3096.6,25.38,2025-05-10
18048,1327,3443.8,21.28,2025-05-10
18283,1343,3041.8,23.82,2025-05-10
18872,1393,3889.9,21.89,2025-05-10
19060,1404,4345.6,21.53,2025-05-10
19528,1438,3150.9,19.97,2025-05-10
19982,1471,3695.1,23.02,2025-05-10
728,63,1409.7,12.25,2025-05-11
2154,172,4680.6,26.08,2025-05-11
2680,208,1495.1,12.35,2025-05-11
2779,214,4518.1,25.13,2025-05-11
3769,284,2670.6,16.68,2025-05-11
4330,328,2336.8,16.4,2025-05-11
5375,416,737.5,6.95,2025-05-11
7042,541,2997.3,20.21,2025-05-11
7445,569,6441.8,26.67,2025-05-11
7698,588,2936.0,15.31,2025-05-11
7708,591,1234.8,9.47,2025-05-11
8642,665,4919.0,27.54,2025-05-11
9153,699,2426.7,12.3,2025-05-11
9640,730,4758.0,32.47,2025-05-11
9773,740,2411.0,12.68,2025-05-11
11473,863,4602.1,20.5,2025-05-11
12695,949,2568.5,24.99,2025-05-11
12963,971,2956.7,16.84,2025-05-11
13652,1022,2640.8,16.39,2025-05-11
13930,1043,4238.0,25.03,2025-05-11
15671,1162,5976.0,44.34,2025-05-11
15695,1163,1777.6,16.02,2025-05-11
16067,1188,3639.6,20.48,2025-05-11
16572,1226,2129.3,13.95,2025-05-11
16883,1249,1579.9,13.15,2025-05-11
17661,1300,2153.1,15.04,2025-05-11
17820,1313,3510.2,16.21,2025-05-11
17955,1321,1885.6,16.91,2025-05-11
18072,1328,2648.5,18.73,2025-05-11
18154,1332,4243.9,19.7,2025-05-11
19512,1438,4685.1,28.75,2025-05-11
20105,1480,3497.0,26.04,2025-05-11
174,16,1884.7,10.02,2025-05-12
244,20,1661.4,7.83,2025-05-12
337,24,3250.0,18.43,2025-05-12
430,34,2076.8,11.8,2025-05-12
662,56,2407.8,13.56,2025-05-12
1496,118,4708.5,27.86,2025-05-12
1858,146,5557.0,30.05,2025-05-12
2291,182,2542.7,13.07,2025-05-12
2292,183,1307.8,8.39,2025-05-12
2295,183,1931.4,14.52,2025-05-12
2623,203,1976.1,14.62,2025-05-12
2842,218,3022.8,22.06,2025-05-12
3068,233,2170.1,12.39,2025-05-12
3503,262,1867.2,12.52,2025-05-12
3778,284,997.9,5.89,2025-05-12
5005,386,1389.3,15.64,2025-05-12
5128,398,2776.7,13.54,2025-05-12
5694,436,2351.7,20.59,2025-05-12
5737,442,3544.3,19.05,2025-05-12
5741,443,6425.3,32.84,2025-05-12
5897,453,2818.5,22.41,2025-05-12
5938,459,2443.9,12.86,2025-05-12
5999,462,2762.2,17.37,2025-05-12
6474,503,1772.1,13.99,2025-05-12
7811,597,1706.9,12.91,2025-05-12
8226,629,2812.5,25.13,2025-05-12
8336,640,3249.9,21.03,2025-05-12
8608,662,4056.5,25.63,2025-05-12
9336,709,2092.0,15.67,2025-05-12
10763,807,1040.6,8.02,2025-05-12
10806,810,2963.2,20.11,2025-05-12
10927,817,3509.7,21.73,2025-05-12
11101,833,4032.5,21.24,2025-05-12
12953,971,2193.7,12.12,2025-05-12
13187,986,1488.1,8.38,2025-05-12
13581,1016,9039.0,51.51,2025-05-12
13696,1024,3790.6,19.43,2025-05-12
14033,1051,3639.9,16.48,2025-05-12
15075,1123,3291.1,23.25,2025-05-12
15533,1154,4041.6,21.46,2025-05-12
15620,1158,3462.2,32.26,2025-05-12
15707,1163,3067.1,18.02,2025-05-12
15893,1170,2051.8,13.2,2025-05-12
16118,1192,3938.2,21.9,2025-05-12
16191,1197,3106.4,22.57,2025-05-12
17065,1261,1940.9,18.69,2025-05-12
17495,1289,5346.9,32.62,2025-05-12
17784,1311,2833.3,20.49,2025-05-12
18070,1328,3852.2,15.14,2025-05-12
18084,1328,3053.1,15.11,2025-05-12
18110,1329,2810.6,19.19,2025-05-12
18423,1353,2038.7,14.46,2025-05-12
19407,1430,4621.8,30.88,2025-05-12
19451,1433,2029.0,9.03,2025-05-12
19527,1438,2816.6,12.28,2025-05-12
19568,1441,2009.3,18.15,2025-05-12
19647,1451,4027.6,23.59,2025-05-12
546,43,5815.3,32.87,2025-05-13
627,53,1405.3,14.55,2025-05-13
1067,87,1953.2,9.26,2025-05-13
1171,96,2520.4,15.41,2025-05-13
1327,106,2383.4,14.25,2025-05-13
1697,133,2174.4,11.04,2025-05-13
2599,201,2505.3,20.07,2025-05-13
4958,381,721.9,6.11,2025-05-13
5499,425,2758.7,16.31,2025-05-13
5617,433,2351.7,13.48,2025-05-13
5627,434,2139.9,10.67,2025-05-13
5779,445,1787.8,11.63,2025-05-13
5816,448,3119.5,16.66,2025-05-13
6315,490,1056.9,7.21,2025-05-13
6852,523,2856.3,18.81,2025-05-13
6921,531,2364.0,10.09,2025-05-13
7669,586,4598.3,28.85,2025-05-13
7875,601,2319.9,14.16,2025-05-13
8354,642,2727.9,18.15,2025-05-13
8505,652,1489.2,9.05,2025-05-13
9513,720,1777.9,14.52,2025-05-13
9774,740,2342.1,18.15,2025-05-13
9885,748,1305.6,6.5,2025-05-13
10289,775,4532.2,29.87,2025-05-13
10867,813,4143.3,22.04,2025-05-13
10960,820,6234.5,27.04,2025-05-13
11299,848,2169.4,11.33,2025-05-13
11386,855,3374.1,14.53,2025-05-13
11497,865,8333.3,47.85,2025-05-13
11630,874,2075.2,10.82,2025-05-13
12247,917,1574.9,7.44,2025-05-13
12515,939,3008.9,26.94,2025-05-13
12635,945,2070.9,11.18,2025-05-13
12688,949,1595.5,8.25,2025-05-13
12793,957,2029.3,12.4,2025-05-13
13282,995,1388.3,9.01,2025-05-13
14362,1075,2082.4,14.0,2025-05-13
14549,1089,1655.2,10.33,2025-05-13
15169,1127,1753.7,11.27,2025-05-13
15486,1152,2466.0,13.64,2025-05-13
16663,1233,2436.7,16.97,2025-05-13
17046,1260,2208.5,12.87,2025-05-13
17716,1305,2331.5,12.83,2025-05-13
18332,1347,1340.4,9.65,2025-05-13
18814,1384,2764.4,22.5,2025-05-13
18858,1390,999.0,7.21,2025-05-13
19249,1418,2687.9,12.78,2025-05-13
19352,1425,5950.0,28.59,2025-05-13
20214,1490,2128.9,17.23,2025-05-13
200,18,1877.0,13.97,2025-05-14
911,74,5835.5,34.07,2025-05-14
1336,106,2632.9,17.69,2025-05-14
1523,120,3630.1,23.78,2025-05-14
1591,124,3215.0,21.29,2025-05-14
1922,151,2242.3,14.14,2025-05-14
2172,175,1447.7,8.43,2025-05-14
2434,190,3281.5,16.5,2025-05-14
2856,220,2020.6,12.48,2025-05-14
3132,236,3268.1,20.44,2025-05-14
3157,237,1404.5,18.59,2025-05-14
3208,238,5906.2,30.35,2025-05-14
3330,245,810.9,5.78,2025-05-14
4226,318,1873.5,9.26,2025-05-14
4587,352,2007.6,12.3,2025-05-14
6524,505,1330.6,18.0,2025-05-14
7122,547,4225.9,37.66,2025-05-14
8032,613,2387.7,14.33,2025-05-14
