talk_id,tag,category
38,medicine,Здоровье
38,music,Искусство
39,humanity,Общество
39,identity,Общество
40,artificial intelligence,Технологии
40,creativity,Искусство
40,economics,Бизнес
41,design,Дизайн
41,economics,Бизнес
41,education,Образование
42,data,Технологии
42,future,Технологии
42,global issues,Общество
42,psychology,Общество
42,space,Наука
43,data,Технологии
43,space,Наука
44,artificial intelligence,Технологии
44,creativity,Искусство
44,data,Технологии
44,storytelling,Искусство
44,war,Общество
45,brain,Наука
45,identity,Общество
45,leadership,Бизнес
45,politics,Общество
46,communication,Образование
46,leadership,Бизнес
46,society,Общество
47,biology,Наука
47,data,Технологии
48,future,Технологии
48,science,Наука
49,technology,Технологии
50,biology,Наука
50,technology,Технологии
51,history,Общество
51,medicine,Здоровье
51,politics,Общество
51,sustainability,Экология
52,environment,Экология
52,future,Технологии
52,sustainability,Экология
53,art,Искусство
53,science,Наука
54,architecture,Дизайн
54,art,Искусство
55,artificial intelligence,Технологии
55,data,Технологии
55,identity,Общество
55,physics,Наука
55,women,Общество
56,art,Искусство
56,personal growth,Образование
57,history,Общество
57,leadership,Бизнес
57,science,Наука
58,data,Технологии
58,education,Образование
58,internet,Технологии
59,economics,Бизнес
59,environment,Экология
60,environment,Экология
60,history,Общество
61,economics,Бизнес
61,education,Образование
61,music,Искусство
62,art,Искусство
62,climate change,Экология
62,creativity,Искусство
63,learning,Образование
63,society,Общество
63,space,Наука
63,women,Общество
64,art,Искусство
64,personal growth,Образование
64,physics,Наука
64,psychology,Общество
65,environment,Экология
65,identity,Общество
66,communication,Образование
66,culture,Общество
66,technology,Технологии
67,architecture,Дизайн
68,artificial intelligence,Технологии
68,health,Здоровье
68,sustainability,Экология
69,data,Технологии
69,history,Общество
69,psychology,Общество
70,biology,Наука
70,global issues,Общество
70,physics,Наука
71,creativity,Искусство
71,education,Образование
71,innovation,Технологии
71,social change,Общество
71,women,Общество
72,creativity,Искусство
72,physics,Наука
73,economics,Бизнес
73,future,Технологии
73,learning,Образование
73,society,Общество
73,war,Общество
74,science,Наука
74,war,Общество
75,architecture,Дизайн
75,climate change,Экология
75,physics,Наука
75,space,Наука
76,art,Искусство
76,brain,Наука
76,history,Общество
76,learning,Образование
77,economics,Бизнес
77,health,Здоровье
77,innovation,Технологии
78,art,Искусство
78,health,Здоровье
78,identity,Общество
78,internet,Технологии
78,war,Общество
79,architecture,Дизайн
79,biology,Наука
79,creativity,Искусство
79,future,Технологии
79,learning,Образование
80,architecture,Дизайн
81,environment,Экология
81,global issues,Общество
81,identity,Общество
81,society,Общество
82,creativity,Искусство
82,health,Здоровье
82,identity,Общество
82,learning,Образование
82,sustainability,Экология
83,culture,Общество
83,education,Образование
83,sustainability,Экология
83,technology,Технологии
84,biology,Наука
84,economics,Бизнес
84,internet,Технологии
84,physics,Наука
85,climate change,Экология
85,personal growth,Образование
85,women,Общество
86,communication,Образование
86,history,Общество
86,leadership,Бизнес
87,social change,Общество
87,space,Наука
88,artificial intelligence,Технологии
88,history,Общество
88,storytelling,Искусство
89,artificial intelligence,Технологии
89,innovation,Технологии
89,technology,Технологии
90,climate change,Экология
91,global issues,Общество
91,internet,Технологии
92,health,Здоровье
92,identity,Общество
92,physics,Наука
93,business,Бизнес
93,economics,Бизнес
94,business,Бизнес
94,communication,Образование
94,data,Технологии
94,design,Дизайн
94,learning,Образование
95,business,Бизнес
95,politics,Общество
95,psychology,Общество
96,sustainability,Экология
96,women,Общество
97,art,Искусство
97,health,Здоровье
97,innovation,Технологии
97,technology,Технологии
98,business,Бизнес
98,creativity,Искусство
98,humanity,Общество
98,sustainability,Экология
99,humanity,Общество
99,learning,Образование
100,art,Искусство
100,data,Технологии
101,personal growth,Образование
101,personal growth,Образование
101,physics,Наука
102,artificial intelligence,Технологии
102,social change,Общество
103,identity,Общество
103,leadership,Бизнес
103,politics,Общество
103,sustainability,Экология
104,health,Здоровье
104,science,Наука
104,society,Общество
105,creativity,Искусство
105,economics,Бизнес
105,future,Технологии
105,identity,Общество
106,art,Искусство
106,learning,Образование
106,storytelling,Искусство
107,learning,Образование
107,space,Наука
108,humanity,Общество
108,music,Искусство
108,sustainability,Экология
108,war,Общество
108,women,Общество
109,innovation,Технологии
109,leadership,Бизнес
109,politics,Общество
110,sustainability,Экология
110,war,Общество
111,physics,Наука
112,artificial intelligence,Технологии
112,environment,Экология
112,personal growth,Образование
112,physics,Наука
113,medicine,Здоровье
113,storytelling,Искусство
113,war,Общество
114,culture,Общество
114,technology,Технологии
115,architecture,Дизайн
115,environment,Экология
115,personal growth,Образование
116,biology,Наука
116,personal growth,Образование
116,technology,Технологии
117,design,Дизайн
117,future,Технологии
117,innovation,Технологии
118,education,Образование
118,health,Здоровье
119,economics,Бизнес
119,internet,Технологии
119,society,Общество
120,creativity,Искусство
120,global issues,Общество
120,psychology,Общество
121,history,Общество
121,learning,Образование
121,medicine,Здоровье
121,space,Наука
122,business,Бизнес
122,communication,Образование
122,physics,Наука
122,psychology,Общество
122,science,Наука
123,climate change,Экология
123,sustainability,Экология
124,business,Бизнес
124,space,Наука
125,art,Искусство
125,learning,Образование
125,music,Искусство
125,storytelling,Искусство
126,education,Образование
126,leadership,Бизнес
126,storytelling,Искусство
126,women,Общество
127,brain,Наука
127,data,Технологии
127,innovation,Технологии
127,social change,Общество
128,internet,Технологии
128,learning,Образование
128,social change,Общество
129,personal growth,Образование
129,women,Общество
130,identity,Общество
130,politics,Общество
131,brain,Наука
131,creativity,Искусство
131,history,Общество
131,identity,Общество
131,identity,Общество
131,social change,Общество
132,architecture,Дизайн
132,brain,Наука
132,history,Общество
132,science,Наука
133,design,Дизайн
133,history,Общество
133,music,Искусство
133,women,Общество
134,artificial intelligence,Технологии
134,physics,Наука
134,psychology,Общество
134,science,Наука
134,social change,Общество
135,climate change,Экология
135,creativity,Искусство
136,architecture,Дизайн
136,communication,Образование
136,environment,Экология
136,psychology,Общество
137,biology,Наука
137,internet,Технологии
137,leadership,Бизнес
137,space,Наука
138,history,Общество
138,personal growth,Образование
138,women,Общество
139,design,Дизайн
139,physics,Наука
139,social change,Общество
140,climate change,Экология
140,identity,Общество
140,society,Общество
141,creativity,Искусство
141,economics,Бизнес
141,environment,Экология
141,medicine,Здоровье
142,communication,Образование
142,design,Дизайн
142,humanity,Общество
143,biology,Наука
144,culture,Общество
144,science,Наука
144,social change,Общество
145,history,Общество
145,technology,Технологии
146,architecture,Дизайн
146,design,Дизайн
146,history,Общество
146,society,Общество
146,sustainability,Экология
147,creativity,Искусство
147,music,Искусство
148,creativity,Искусство
148,history,Общество
148,technology,Технологии
149,education,Образование
149,sustainability,Экология
149,women,Общество
150,artificial intelligence,Технологии
150,culture,Общество
150,music,Искусство
150,politics,Общество
150,space,Наука
151,artificial intelligence,Технологии
151,design,Дизайн
151,history,Общество
151,personal growth,Образование
151,science,Наука
152,architecture,Дизайн
152,biology,Наука
152,creativity,Искусство
152,society,Общество
153,brain,Наука
153,medicine,Здоровье
153,politics,Общество
154,identity,Общество
154,politics,Общество
155,internet,Технологии
155,leadership,Бизнес
155,music,Искусство
155,science,Наука
156,brain,Наука
156,communication,Образование
156,data,Технологии
156,humanity,Общество
157,communication,Образование
157,culture,Общество
157,social change,Общество
157,women,Общество
158,architecture,Дизайн
158,communication,Образование
158,internet,Технологии
158,science,Наука
159,data,Технологии
159,global issues,Общество
159,health,Здоровье
159,internet,Технологии
159,storytelling,Искусство
160,music,Искусство
161,medicine,Здоровье
162,innovation,Технологии
162,music,Искусство
162,physics,Наука
162,politics,Общество
163,data,Технологии
163,education,Образование
163,global issues,Общество
164,biology,Наука
164,brain,Наука
164,culture,Общество
164,design,Дизайн
164,storytelling,Искусство
165,culture,Общество
165,culture,Общество
165,politics,Общество
165,sustainability,Экология
166,artificial intelligence,Технологии
166,society,Общество
166,space,Наука
167,future,Технологии
167,music,Искусство
167,society,Общество
167,technology,Технологии
168,communication,Образование
168,history,Общество
169,education,Образование
169,internet,Технологии
169,medicine,Здоровье
169,personal growth,Образование
169,women,Общество
170,medicine,Здоровье
170,science,Наука
170,space,Наука
171,brain,Наука
171,design,Дизайн
172,space,Наука
173,women,Общество
174,history,Общество
175,communication,Образование
175,identity,Общество
175,social change,Общество
175,society,Общество
176,art,Искусство
176,innovation,Технологии
177,art,Искусство
177,design,Дизайн
177,war,Общество
178,environment,Экология
178,history,Общество
178,innovation,Технологии
178,leadership,Бизнес
179,biology,Наука
179,design,Дизайн
179,history,Общество
179,space,Наука
180,design,Дизайн
180,health,Здоровье
181,communication,Образование
181,society,Общество
182,medicine,Здоровье
183,culture,Общество
183,global issues,Общество
183,psychology,Общество
183,storytelling,Искусство
184,business,Бизнес
184,history,Общество
184,humanity,Общество
184,social change,Общество
184,space,Наука
185,architecture,Дизайн
185,data,Технологии
185,medicine,Здоровье
185,women,Общество
186,creativity,Искусство
186,economics,Бизнес
186,sustainability,Экология
187,physics,Наука
188,artificial intelligence,Технологии
188,culture,Общество
188,data,Технологии
188,education,Образование
189,architecture,Дизайн
189,artificial intelligence,Технологии
189,climate change,Экология
189,data,Технологии
189,personal growth,Образование
190,personal growth,Образование
190,physics,Наука
191,creativity,Искусство
191,future,Технологии
191,health,Здоровье
192,humanity,Общество
192,physics,Наука
192,society,Общество
193,climate change,Экология
193,culture,Общество
193,music,Искусство
193,space,Наука
194,identity,Общество
194,medicine,Здоровье
194,space,Наука
195,architecture,Дизайн
195,education,Образование
195,social change,Общество
196,business,Бизнес
196,economics,Бизнес
196,personal growth,Образование
196,technology,Технологии
197,identity,Общество
197,psychology,Общество
197,storytelling,Искусство
198,environment,Экология
198,storytelling,Искусство
199,climate change,Экология
199,design,Дизайн
199,humanity,Общество
199,physics,Наука
200,education,Образование
200,society,Общество
201,climate change,Экология
201,society,Общество
201,war,Общество
202,storytelling,Искусство
202,technology,Технологии
203,artificial intelligence,Технологии
203,artificial intelligence,Технологии
203,climate change,Экология
204,artificial intelligence,Технологии
204,biology,Наука
204,climate change,Экология
205,future,Технологии
206,architecture,Дизайн
206,medicine,Здоровье
206,storytelling,Искусство
207,design,Дизайн
207,environment,Экология
207,global issues,Общество
207,global issues,Общество
207,personal growth,Образование
208,business,Бизнес
208,storytelling,Искусство
209,business,Бизнес
209,economics,Бизнес
210,learning,Образование
210,physics,Наука
210,social change,Общество
211,artificial intelligence,Технологии
211,culture,Общество
212,environment,Экология
212,internet,Технологии
212,personal growth,Образование
213,space,Наука
214,climate change,Экология
214,leadership,Бизнес
215,brain,Наука
215,data,Технологии
215,women,Общество
216,brain,Наука
216,innovation,Технологии
217,culture,Общество
217,music,Искусство
217,technology,Технологии
218,biology,Наука
218,brain,Наука
218,design,Дизайн
218,future,Технологии
219,global issues,Общество
219,society,Общество
219,war,Общество
220,artificial intelligence,Технологии
220,culture,Общество
220,future,Технологии
220,global issues,Общество
221,personal growth,Образование
222,business,Бизнес
222,economics,Бизнес
222,personal growth,Образование
223,global issues,Общество
224,politics,Общество
224,social change,Общество
225,business,Бизнес
225,education,Образование
225,science,Наука
226,creativity,Искусство
227,education,Образование
227,innovation,Технологии
227,technology,Технологии
228,art,Искусство
228,creativity,Искусство
228,education,Образование
228,environment,Экология
228,women,Общество
229,business,Бизнес
229,climate change,Экология
229,environment,Экология
229,identity,Общество
229,war,Общество
230,art,Искусство
230,storytelling,Искусство
231,environment,Экология
232,climate change,Экология
232,global issues,Общество
233,culture,Общество
233,learning,Образование
234,brain,Наука
234,economics,Бизнес
234,technology,Технологии
235,internet,Технологии
235,space,Наука
235,sustainability,Экология
236,personal growth,Образование
237,data,Технологии
237,health,Здоровье
237,humanity,Общество
237,identity,Общество
238,culture,Общество
238,health,Здоровье
238,personal growth,Образование
239,artificial intelligence,Технологии
239,artificial intelligence,Технологии
239,economics,Бизнес
239,economics,Бизнес
239,storytelling,Искусство
240,business,Бизнес
240,climate change,Экология
240,communication,Образование
240,medicine,Здоровье
241,artificial intelligence,Технологии
241,biology,Наука
242,architecture,Дизайн
243,global issues,Общество
243,innovation,Технологии
243,women,Общество
244,future,Технологии
245,creativity,Искусство
245,environment,Экология
245,personal growth,Образование
246,biology,Наука
246,culture,Общество
246,education,Образование
246,internet,Технологии
247,future,Технологии
248,architecture,Дизайн
248,humanity,Общество
248,women,Общество
249,brain,Наука
249,health,Здоровье
249,history,Общество
249,humanity,Общество
249,storytelling,Искусство
250,communication,Образование
250,global issues,Общество
250,personal growth,Образование
250,storytelling,Искусство
251,health,Здоровье
251,personal growth,Образование
252,architecture,Дизайн
252,future,Технологии
252,internet,Технологии
252,personal growth,Образование
253,physics,Наука
253,science,Наука
254,humanity,Общество
254,leadership,Бизнес
254,medicine,Здоровье
254,music,Искусство
254,space,Наука
255,internet,Технологии
255,politics,Общество
255,storytelling,Искусство
256,future,Технологии
256,identity,Общество
256,women,Общество
257,creativity,Искусство
257,future,Технологии
257,science,Наука
257,technology,Технологии
258,climate change,Экология
258,history,Общество
258,storytelling,Искусство
258,technology,Технологии
259,communication,Образование
259,internet,Технологии
260,humanity,Общество
260,identity,Общество
260,internet,Технологии
260,psychology,Общество
261,data,Технологии
261,science,Наука
261,social change,Общество
262,identity,Общество
262,storytelling,Искусство
263,brain,Наука
263,identity,Общество
263,medicine,Здоровье
263,technology,Технологии
264,education,Образование
264,global issues,Общество
264,history,Общество
264,history,Общество
265,brain,Наука
265,brain,Наука
265,data,Технологии
265,society,Общество
266,creativity,Искусство
266,space,Наука
266,women,Общество
267,architecture,Дизайн
267,creativity,Искусство
267,internet,Технологии
267,physics,Наука
267,technology,Технологии
268,design,Дизайн
268,economics,Бизнес
269,business,Бизнес
269,climate change,Экология
269,identity,Общество
269,innovation,Технологии
269,social change,Общество
270,identity,Общество
270,space,Наука
271,communication,Образование
271,humanity,Общество
271,space,Наука
271,women,Общество
272,creativity,Искусство
272,global issues,Общество
272,innovation,Технологии
272,technology,Технологии
272,women,Общество
273,science,Наука
274,innovation,Технологии
274,sustainability,Экология
275,environment,Экология
275,learning,Образование
275,war,Общество
276,culture,Общество
276,health,Здоровье
276,learning,Образование
277,culture,Общество
277,identity,Общество
277,leadership,Бизнес
278,design,Дизайн
278,design,Дизайн
278,physics,Наука
278,social change,Общество
279,education,Образование
279,leadership,Бизнес
279,storytelling,Искусство
280,brain,Наука
280,creativity,Искусство
280,humanity,Общество
280,music,Искусство
280,psychology,Общество
281,creativity,Искусство
281,economics,Бизнес
281,leadership,Бизнес
282,biology,Наука
282,design,Дизайн
283,brain,Наука
283,culture,Общество
284,environment,Экология
284,learning,Образование
284,space,Наука
284,women,Общество
285,global issues,Общество
285,leadership,Бизнес
286,creativity,Искусство
286,future,Технологии
287,culture,Общество
287,space,Наука
287,technology,Технологии
287,women,Общество
288,artificial intelligence,Технологии
288,music,Искусство
289,global issues,Общество
289,leadership,Бизнес
289,storytelling,Искусство
290,brain,Наука
290,leadership,Бизнес
290,science,Наука
291,internet,Технологии
291,learning,Образование
291,medicine,Здоровье
292,biology,Наука
292,health,Здоровье
292,innovation,Технологии
292,internet,Технологии
292,physics,Наука
293,learning,Образование
293,social change,Общество
294,data,Технологии
294,medicine,Здоровье
294,science,Наука
295,business,Бизнес
295,psychology,Общество
296,business,Бизнес
296,education,Образование
297,biology,Наука
297,economics,Бизнес
297,history,Общество
298,innovation,Технологии
298,politics,Общество
298,social change,Общество
299,biology,Наука
299,education,Образование
299,innovation,Технологии
300,artificial intelligence,Технологии
300,music,Искусство
300,space,Наука
301,music,Искусство
301,science,Наука
301,technology,Технологии
301,war,Общество
302,health,Здоровье
302,history,Общество
302,innovation,Технологии
302,politics,Общество
303,architecture,Дизайн
303,art,Искусство
303,artificial intelligence,Технологии
303,psychology,Общество
304,architecture,Дизайн
304,design,Дизайн
304,economics,Бизнес
305,biology,Наука
305,internet,Технологии
305,society,Общество
305,women,Общество
306,environment,Экология
306,global issues,Общество
306,technology,Технологии
307,brain,Наука
307,business,Бизнес
307,economics,Бизнес
307,medicine,Здоровье
307,society,Общество
308,communication,Образование
308,history,Общество
309,art,Искусство
310,business,Бизнес
310,identity,Общество
310,personal growth,Образование
310,social change,Общество
310,storytelling,Искусство
311,artificial intelligence,Технологии
311,space,Наука
312,learning,Образование
312,storytelling,Искусство
313,business,Бизнес
313,social change,Общество
314,art,Искусство
314,brain,Наука
314,business,Бизнес
314,global issues,Общество
314,women,Общество
315,biology,Наука
315,business,Бизнес
315,environment,Экология
315,learning,Образование
315,medicine,Здоровье
316,health,Здоровье
316,identity,Общество
316,medicine,Здоровье
317,climate change,Экология
317,history,Общество
317,innovation,Технологии
317,learning,Образование
317,psychology,Общество
318,biology,Наука
318,brain,Наука
318,history,Общество
318,learning,Образование
318,psychology,Общество
319,brain,Наука
319,environment,Экология
319,women,Общество
320,education,Образование
320,global issues,Общество
320,women,Общество
321,history,Общество
321,identity,Общество
322,medicine,Здоровье
322,science,Наука
323,environment,Экология
323,leadership,Бизнес
324,science,Наука
325,internet,Технологии
325,leadership,Бизнес
325,social change,Общество
326,biology,Наука
327,music,Искусство
328,politics,Общество
328,war,Общество
329,business,Бизнес
329,culture,Общество
329,innovation,Технологии
330,biology,Наука
330,data,Технологии
330,social change,Общество
330,women,Общество
331,economics,Бизнес
331,future,Технологии
331,history,Общество
331,war,Общество
332,art,Искусство
332,learning,Образование
332,psychology,Общество
332,storytelling,Искусство
332,technology,Технологии
333,internet,Технологии
333,music,Искусство
333,psychology,Общество
333,technology,Технологии
334,psychology,Общество
335,history,Общество
335,war,Общество
336,culture,Общество
336,internet,Технологии
336,music,Искусство
337,education,Образование
337,leadership,Бизнес
338,global issues,Общество
338,humanity,Общество
339,humanity,Общество
339,internet,Технологии
339,social change,Общество
339,storytelling,Искусство
339,war,Общество
340,artificial intelligence,Технологии
340,environment,Экология
341,society,Общество
342,history,Общество
343,social change,Общество
344,social change,Общество
344,society,Общество
344,women,Общество
345,data,Технологии
345,history,Общество
345,social change,Общество
346,design,Дизайн
346,learning,Образование
346,social change,Общество
347,communication,Образование
347,culture,Общество
347,data,Технологии
347,health,Здоровье
347,humanity,Общество
348,climate change,Экология
348,environment,Экология
348,future,Технологии
348,health,Здоровье
348,personal growth,Образование
349,brain,Наука
349,leadership,Бизнес
349,social change,Общество
350,creativity,Искусство
350,technology,Технологии
351,artificial intelligence,Технологии
351,brain,Наука
351,innovation,Технологии
351,politics,Общество
351,science,Наука
352,physics,Наука
353,leadership,Бизнес
353,social change,Общество
354,architecture,Дизайн
354,future,Технологии
354,humanity,Общество
354,medicine,Здоровье
354,storytelling,Искусство
355,art,Искусство
355,environment,Экология
355,music,Искусство
355,personal growth,Образование
356,art,Искусство
356,design,Дизайн
357,biology,Наука
357,future,Технологии
358,business,Бизнес
358,politics,Общество
358,science,Наука
358,society,Общество
359,climate change,Экология
359,design,Дизайн
359,sustainability,Экология
359,technology,Технологии
360,future,Технологии
361,business,Бизнес
361,data,Технологии
361,design,Дизайн
361,identity,Общество
361,innovation,Технологии
362,climate change,Экология
362,internet,Технологии
362,storytelling,Искусство
363,music,Искусство
364,architecture,Дизайн
364,creativity,Искусство
365,economics,Бизнес
365,learning,Образование
365,science,Наука
365,sustainability,Экология
366,design,Дизайн
366,environment,Экология
366,future,Технологии
367,leadership,Бизнес
367,physics,Наука
367,sustainability,Экология
368,artificial intelligence,Технологии
368,culture,Общество
369,artificial intelligence,Технологии
369,economics,Бизнес
369,future,Технологии
369,physics,Наука
369,women,Общество
370,art,Искусство
370,environment,Экология
370,innovation,Технологии
370,science,Наука
371,culture,Общество
371,global issues,Общество
372,architecture,Дизайн
372,medicine,Здоровье
372,personal growth,Образование
373,biology,Наука
374,architecture,Дизайн
374,climate change,Экология
374,communication,Образование
374,data,Технологии
374,personal growth,Образование
375,society,Общество
376,design,Дизайн
376,humanity,Общество
376,politics,Общество
376,war,Общество
377,global issues,Общество
377,war,Общество
378,learning,Образование
378,medicine,Здоровье
379,brain,Наука
379,creativity,Искусство
379,history,Общество
379,innovation,Технологии
380,culture,Общество
380,economics,Бизнес
380,learning,Образование
381,data,Технологии
381,internet,Технологии
382,artificial intelligence,Технологии
382,humanity,Общество
383,creativity,Искусство
383,medicine,Здоровье
384,global issues,Общество
384,leadership,Бизнес
384,personal growth,Образование
385,economics,Бизнес
385,humanity,Общество
385,sustainability,Экология
386,identity,Общество
386,internet,Технологии
386,personal growth,Образование
387,culture,Общество
387,humanity,Общество
388,music,Искусство
389,identity,Общество
389,innovation,Технологии
389,space,Наука
390,architecture,Дизайн
390,artificial intelligence,Технологии
390,biology,Наука
390,culture,Общество
391,artificial intelligence,Технологии
391,artificial intelligence,Технологии
391,environment,Экология
391,storytelling,Искусство
392,art,Искусство
392,science,Наука
392,technology,Технологии
393,art,Искусство
393,education,Образование
393,social change,Общество
394,biology,Наука
394,brain,Наука
394,global issues,Общество
394,technology,Технологии
395,humanity,Общество
395,society,Общество
395,storytelling,Искусство
395,technology,Технологии
396,leadership,Бизнес
396,social change,Общество
397,artificial intelligence,Технологии
397,learning,Образование
397,music,Искусство
397,physics,Наука
397,technology,Технологии
398,artificial intelligence,Технологии
398,medicine,Здоровье
398,science,Наука
398,sustainability,Экология
398,war,Общество
399,architecture,Дизайн
399,environment,Экология
399,personal growth,Образование
399,space,Наука
399,technology,Технологии
400,communication,Образование
400,creativity,Искусство
400,medicine,Здоровье
400,personal growth,Образование
400,sustainability,Экология
401,culture,Общество
401,future,Технологии
402,learning,Образование
402,music,Искусство
402,technology,Технологии
403,brain,Наука
403,climate change,Экология
403,humanity,Общество
403,internet,Технологии
404,brain,Наука
404,climate change,Экология
404,design,Дизайн
404,history,Общество
404,space,Наука
405,education,Образование
405,health,Здоровье
405,space,Наука
405,women,Общество
406,communication,Образование
407,data,Технологии
407,health,Здоровье
407,women,Общество
408,design,Дизайн
408,personal growth,Образование
409,humanity,Общество
409,identity,Общество
409,identity,Общество
409,medicine,Здоровье
409,war,Общество
410,health,Здоровье
410,identity,Общество
410,social change,Общество
410,sustainability,Экология
411,medicine,Здоровье
411,space,Наука
412,architecture,Дизайн
412,history,Общество
412,technology,Технологии
413,design,Дизайн
413,future,Технологии
413,identity,Общество
413,leadership,Бизнес
414,culture,Общество
414,data,Технологии
414,future,Технологии
415,health,Здоровье
415,personal growth,Образование
416,artificial intelligence,Технологии
416,climate change,Экология
416,creativity,Искусство
416,medicine,Здоровье
417,communication,Образование
417,creativity,Искусство
417,physics,Наука
417,politics,Общество
417,storytelling,Искусство
418,innovation,Технологии
418,sustainability,Экология
419,design,Дизайн
419,leadership,Бизнес
419,music,Искусство
419,personal growth,Образование
419,technology,Технологии
420,data,Технологии
420,environment,Экология
420,history,Общество
420,innovation,Технологии
420,physics,Наука
421,social change,Общество
422,climate change,Экология
422,humanity,Общество
422,politics,Общество
423,architecture,Дизайн
423,health,Здоровье
423,internet,Технологии
423,war,Общество
424,design,Дизайн
424,science,Наука
425,climate change,Экология
425,technology,Технологии
426,medicine,Здоровье
426,science,Наука
427,art,Искусство
427,data,Технологии
427,personal growth,Образование
427,war,Общество
428,artificial intelligence,Технологии
428,global issues,Общество
428,politics,Общество
428,science,Наука
429,architecture,Дизайн
429,culture,Общество
429,society,Общество
429,storytelling,Искусство
430,education,Образование
430,leadership,Бизнес
430,storytelling,Искусство
431,history,Общество
431,society,Общество
432,history,Общество
432,innovation,Технологии
432,learning,Образование
432,social change,Общество
433,economics,Бизнес
433,internet,Технологии
433,music,Искусство
434,brain,Наука
434,economics,Бизнес
434,society,Общество
435,brain,Наука
435,politics,Общество
435,space,Наука
435,war,Общество
436,psychology,Общество
437,history,Общество
437,physics,Наука
437,society,Общество
438,economics,Бизнес
438,psychology,Общество
438,technology,Технологии
439,biology,Наука
439,climate change,Экология
439,social change,Общество
439,social change,Общество
439,society,Общество
440,economics,Бизнес
440,global issues,Общество
440,medicine,Здоровье
440,space,Наука
441,data,Технологии
441,health,Здоровье
441,physics,Наука
442,data,Технологии
442,physics,Наука
442,politics,Общество
442,social change,Общество
443,business,Бизнес
443,climate change,Экология
443,environment,Экология
444,data,Технологии
444,health,Здоровье
444,identity,Общество
444,music,Искусство
445,climate change,Экология
445,future,Технологии
445,sustainability,Экология
446,artificial intelligence,Технологии
446,global issues,Общество
446,identity,Общество
446,medicine,Здоровье
447,innovation,Технологии
447,music,Искусство
447,physics,Наука
447,technology,Технологии
448,communication,Образование
448,education,Образование
448,future,Технологии
448,history,Общество
449,economics,Бизнес
449,leadership,Бизнес
449,medicine,Здоровье
449,physics,Наука
450,architecture,Дизайн
450,social change,Общество
450,storytelling,Искусство
451,business,Бизнес
451,design,Дизайн
451,economics,Бизнес
452,brain,Наука
452,health,Здоровье
452,storytelling,Искусство
453,communication,Образование
453,education,Образование
453,psychology,Общество
454,art,Искусство
454,health,Здоровье
454,sustainability,Экология
455,health,Здоровье
455,physics,Наука
455,society,Общество
456,architecture,Дизайн
456,economics,Бизнес
456,leadership,Бизнес
456,medicine,Здоровье
457,brain,Наука
458,data,Технологии
458,leadership,Бизнес
459,society,Общество
459,sustainability,Экология
459,women,Общество
460,brain,Наука
460,learning,Образование
