talk_id,title,speaker,speaker_occupation,num_speakers,event,event_year,event_city,is_main_conference,recorded_date,published_date,duration_sec,views,comments,languages
2457,Отчего врачи требуют пересмотра,Alex Silva,художник,1,TED2010,2010,Long Beach,1,2010-03-05,2010-07-10,1223,33346696,3547,14
1587,Каким образом вирусы решают за нас,Maria Hassan,историк,1,TED2010,2010,Long Beach,1,2010-06-28,2010-07-11,673,8797905,908,26
1444,Зачем дети определяют будущее,Nora Bauer,музыкант,1,TED2010,2010,Long Beach,1,2010-05-23,2010-07-21,954,8978650,2590,21
1956,Как гены устроены не так,Peter Fischer,писатель,2,TED2010,2010,Long Beach,1,2010-02-16,2010-07-27,499,488671,51,32
1705,Что леса молчат,Hugo Berger,астроном,1,TED2010,2010,Long Beach,1,2010-07-10,2010-08-04,1191,412481,38,15
198,"Как старение важнее, чем кажется",Ana Petrov,психолог,1,TED2010,2010,Long Beach,1,2010-06-12,2010-08-06,730,6556021,625,44
1832,Отчего выборы решают за нас,Yuki Meyer,философ,1,TED2010,2010,Long Beach,1,2010-05-15,2010-08-08,1275,1051166,253,23
2649,Почему леса заслуживают внимания,Liam Dubois,юрист,1,TED2010,2010,Long Beach,1,2010-07-05,2010-08-09,346,3021556,333,23
1580,Почему мозг не работают,Sara Berger,дизайнер,1,TED2010,2010,Long Beach,1,2010-06-07,2010-08-13,924,14520578,1993,29
2523,Что работа устроены не так,Kira Haugen,астроном,1,TED2010,2010,Long Beach,1,2010-06-02,2010-08-20,815,623318,52,25
2611,Что архитектура не работают,Maria Ferrari,психолог,1,TED2010,2010,Long Beach,1,2010-08-11,2010-08-24,781,1052573,161,15
1792,Почему нейросети возвращаются,Kira Almeida,физик,1,TED2010,2010,Long Beach,1,2010-06-13,2010-08-28,356,3658785,622,55
1453,Зачем леса стоят дороже,Peter Iversen,эколог,1,TED2010,2010,Long Beach,1,2010-07-03,2010-08-29,903,3155025,279,25
2663,Как алгоритмы исчезают,Iris Bauer,инженер,1,TED2010,2010,Long Beach,1,2010-05-06,2010-08-29,1156,3368028,347,13
1417,Зачем вирусы работают против нас,Ana Nakamura,философ,1,TED2010,2010,Long Beach,1,2010-07-13,2010-09-02,295,921439,134,28
1058,Зачем почва требуют пересмотра,Zoe Okafor,архитектор,1,TED2010,2010,Long Beach,1,2010-08-19,2010-09-08,554,3376831,344,22
755,Почему океан держат нас вместе,Lena Iversen,эколог,1,TED2010,2010,Long Beach,1,2010-03-12,2010-09-12,1150,21093692,3506,34
2435,Что океан молчат,Noah Iversen,нейробиолог,1,TED2010,2010,Long Beach,1,2010-05-13,2010-09-18,920,3780766,1022,47
1006,Зачем реки заслуживают внимания,Daniel Kaplan,инженер,1,TED2010,2010,Long Beach,1,2010-03-21,2010-09-20,1202,9393719,868,12
1911,Отчего язык нуждаются в защите,Aisha Ferrari,астроном,1,TED2010,2010,Long Beach,1,2010-07-17,2010-09-24,1035,703130,167,36
124,Как выборы определяют будущее,Carlos Moreau,психолог,1,TED2010,2010,Long Beach,1,2010-08-20,2010-09-29,961,1335483,156,29
16,"Как космос опаснее, чем принято думать",Ravi Lindqvist,журналист,1,TED2010,2010,Long Beach,1,2010-05-16,2010-10-06,751,1445429,159,21
2429,Каким образом алгоритмы определяют будущее,Lena Reyes,архитектор,1,TED2010,2010,Long Beach,1,2010-05-13,2010-10-06,886,5288618,446,16
2530,Зачем границы работают против нас,Jonas Bauer,программист,1,TED2010,2010,Long Beach,1,2010-05-06,2010-10-08,439,1829958,687,43
2400,Как почва возвращаются,Felix Castillo,педагог,2,TED2010,2010,Long Beach,1,2010-04-21,2010-10-09,1261,2530545,317,10
1767,Почему границы исчезают,Hugo Haugen,математик,1,TED2010,2010,Long Beach,1,2010-03-27,2010-10-12,1222,2311712,312,35
2116,Зачем дети меняют всё,Ines Lindqvist,,1,TED2010,2010,Long Beach,1,2010-08-05,2010-10-20,1005,3793713,947,34
1618,Каким образом архитектура молчат,Iris Meyer,инженер,1,TED2010,2010,Long Beach,1,2010-05-13,2010-10-21,454,4161693,538,47
28,Отчего школы стали другими,Omar Reyes,юрист,1,TED2010,2010,Long Beach,1,2010-08-28,2010-10-25,0,1233400,320,15
658,Почему язык стоят дороже,Zoe Reyes,биолог,1,TED2010,2010,Long Beach,1,2010-08-16,2010-10-27,425,3749913,552,10
126,Зачем старение определяют будущее,Iris Hassan,,1,TED2010,2010,Long Beach,1,2010-06-10,2010-11-03,328,2708621,247,20
1121,Каким образом школы говорят правду,Lucia Vargas,юрист,1,TED2010,2010,Long Beach,1,2010-04-28,2010-11-11,1267,3458820,724,1
722,Как медицина говорят правду,Aisha Adeyemi,журналист,2,TED2010,2010,Long Beach,1,2010-06-12,2010-11-16,526,4331861,469,43
1645,Что музыка заслуживают внимания,Ines Reyes,экономист,1,TED2010,2010,Long Beach,1,2010-11-02,2010-11-17,578,1730678,200,46
572,Отчего границы говорят правду,Tom Haugen,юрист,1,TED2010,2010,Long Beach,1,2010-10-10,2010-11-26,341,1416960,152,27
906,"Что алгоритмы важнее, чем кажется",Carlos Petrov,педагог,1,TED2010,2010,Long Beach,1,2010-08-20,2010-11-30,1329,2639946,820,36
2433,Как медицина зависят от нас,Nora Fischer,,1,TED2010,2010,Long Beach,1,2010-10-26,2010-12-01,732,1855591,160,41
95,Почему бактерии зависят от нас,Alex Bauer,режиссёр,2,TED2010,2010,Long Beach,1,2010-09-12,2010-12-04,857,5697105,759,32
1923,Как мы определяют будущее,Sara Berger,юрист,1,TED2010,2010,Long Beach,1,2010-08-18,2010-12-10,531,5834237,597,38
1004,Отчего выборы исчезают,Yuki Nakamura,журналист,1,TED2010,2010,Long Beach,1,2010-09-26,2010-12-16,648,753455,198,29
2312,Как школы меняют всё,Carlos Almeida,психолог,1,TED2010,2010,Long Beach,1,2010-08-13,2010-12-30,1189,2953059,1192,25
2305,Отчего данные требуют пересмотра,Ines Dubois,писатель,1,TED2010,2010,Long Beach,1,2010-06-22,2011-01-02,917,1979530,551,48
1563,Каким образом почва нуждаются в защите,David Almeida,биолог,1,TED2010,2010,Long Beach,1,2010-08-19,2011-01-04,433,808809,67,49
2634,Почему язык меняют всё,Hugo Iversen,инженер,1,TED2010,2010,Long Beach,1,2010-09-12,2011-01-05,917,403507,38,29
128,Как сон заслуживают внимания,Nora Almeida,юрист,1,TED2010,2010,Long Beach,1,2010-12-08,2011-01-11,400,10457189,884,36
502,"Зачем привычки важнее, чем кажется",Ana Lindqvist,,1,TED2010,2010,Long Beach,1,2010-11-01,2011-01-11,831,4260898,1579,27
2164,Почему дети решают за нас,Zoe Adeyemi,психолог,1,TED2010,2010,Long Beach,1,2010-11-04,2011-01-14,248,5987068,1926,38
1757,Что страх зависят от нас,Zoe Meyer,эколог,1,TED2010,2010,Long Beach,1,2010-07-18,2011-01-16,550,721588,77,37
215,"Что леса опаснее, чем принято думать",Ana Kowalski,,1,TED2010,2010,Long Beach,1,2010-07-04,2011-01-19,250,49344433,5382,58
2228,"Почему выборы сложнее, чем выглядят",Tom Ferrari,антрополог,1,TED2010,2010,Long Beach,1,2010-11-26,2011-01-20,720,4428318,571,16
902,Что энергия обманывают нас,John Haugen,педагог,1,TED2011,2011,Long Beach,1,2011-01-03,2011-01-21,410,1830746,243,23
2541,Зачем страх меняют всё,Liam Berger,музыкант,1,TED2010,2010,Long Beach,1,2010-11-11,2011-01-22,1100,5651715,1114,23
459,Что музыка возвращаются,Nora Iversen,музыкант,1,TED2010,2010,Long Beach,1,2010-11-19,2011-01-24,807,810287,160,34
1306,Почему семьи возвращаются,Liam Ferrari,активист,1,TED2010,2010,Long Beach,1,2010-09-23,2011-01-26,351,2084724,254,21
1701,Как города говорят правду,Alex Berger,архитектор,1,TED2010,2010,Long Beach,1,2010-07-22,2011-01-28,329,4335605,436,18
260,Что мы исчезают,Kira Moreau,биолог,1,TED2010,2010,Long Beach,1,2010-10-04,2011-01-31,267,847482,80,33
169,Как реки устроены не так,Liam Ferrari,дизайнер,1,TED2011,2011,Long Beach,1,2011-01-05,2011-02-01,1071,2453215,342,22
1976,"Почему мозг важнее, чем кажется",Nora Meyer,активист,1,TED2010,2010,Long Beach,1,2010-12-07,2011-02-05,318,19094314,6847,35
1213,Отчего память заслуживают внимания,Omar Dubois,антрополог,1,TED2010,2010,Long Beach,1,2010-09-27,2011-02-06,215,827882,133,1
1660,Каким образом города заслуживают внимания,Alex Moreau,юрист,1,TED2010,2010,Long Beach,1,2010-10-28,2011-02-10,723,7473702,814,17
1376,Отчего роботы работают против нас,Daniel Meyer,антрополог,2,TED2010,2010,Long Beach,1,2010-10-28,2011-02-15,1168,4012689,451,19
547,Что океан говорят правду,Maria Castillo,нейробиолог,1,TED2011,2011,Long Beach,1,2011-01-18,2011-02-17,886,1930832,427,20
417,Как школы зависят от нас,Mira Castillo,историк,1,TED2010,2010,Long Beach,1,2010-11-24,2011-02-26,841,2400800,420,24
1569,Как дети возвращаются,Emma Meyer,философ,1,TED2011,2011,Long Beach,1,2011-02-12,2011-02-28,616,4332841,940,33
637,"Что время сложнее, чем выглядят",Ana Berger,программист,2,TEDGlobal 2011,2011,Edinburgh,1,2011-01-01,2011-03-02,800,1236482,129,36
884,Отчего привычки говорят правду,John Kaplan,педагог,1,TED2010,2010,Long Beach,1,2010-10-20,2011-03-03,689,4974758,505,40
1835,Что эмоции стали другими,Carlos Hassan,,1,TED2011,2011,Long Beach,1,2011-02-05,2011-03-04,1171,734305,278,19
1748,"Как бактерии важнее, чем кажется",Alex Lindqvist,активист,1,TEDGlobal 2011,2011,Edinburgh,1,2011-01-23,2011-03-06,438,736435,74,46
737,Зачем старение нуждаются в защите,Lena Petrov,активист,1,TED2010,2010,Long Beach,1,2010-11-27,2011-03-07,536,6338965,2813,43
430,"Почему алгоритмы сложнее, чем выглядят",Mira Vargas,антрополог,2,TED2010,2010,Long Beach,1,2010-12-11,2011-03-08,284,243105,21,29
1733,Как доверие стали другими,Liam Kowalski,музыкант,1,TEDGlobal 2011,2011,Edinburgh,1,2011-01-17,2011-03-17,778,12753406,2464,53
90,Зачем старение говорят правду,Elif Adeyemi,художник,1,TED2010,2010,Long Beach,1,2010-11-04,2011-03-18,1037,14762100,6453,34
1620,"Как школы сложнее, чем выглядят",Iris Meyer,педагог,1,TEDGlobal 2011,2011,Edinburgh,1,2011-01-10,2011-03-20,1387,16208774,1914,17
303,Зачем работа возвращаются,Noah Adeyemi,врач,1,TED2010,2010,Long Beach,1,2010-09-16,2011-03-23,630,1915029,273,28
312,Как границы стали другими,Kira Berger,биолог,1,TED2011,2011,Long Beach,1,2011-01-04,2011-03-28,350,352636,42,24
1132,Отчего границы работают против нас,Hugo Kowalski,,1,TED2010,2010,Long Beach,1,2010-10-04,2011-03-30,1118,1628709,143,21
1234,Как медицина стали другими,Daniel Kowalski,историк,1,TED2010,2010,Long Beach,1,2010-11-24,2011-03-30,444,1808372,161,24
2542,Как города обманывают нас,Yuki Castillo,писатель,1,TED2010,2010,Long Beach,1,2010-12-06,2011-03-30,1122,2943806,658,19
158,Зачем бактерии стали другими,Noah Nilsen,эколог,1,TED2010,2010,Long Beach,1,2010-12-20,2011-04-01,679,2436803,365,28
1799,Зачем границы стоят дороже,Lucia Dubois,художник,1,TED2011,2011,Long Beach,1,2011-03-10,2011-04-02,863,2136264,478,35
1779,"Как выборы важнее, чем кажется",Lucia Okafor,психолог,1,TEDGlobal 2011,2011,Edinburgh,1,2011-02-20,2011-04-08,817,1516750,132,21
909,Почему музыка заслуживают внимания,Ines Lindqvist,предприниматель,1,TED2010,2010,Long Beach,1,2010-11-27,2011-04-09,622,3407170,320,26
390,Почему врачи устроены не так,Carlos Haugen,психолог,1,TED2011,2011,Long Beach,1,2011-02-06,2011-04-14,710,891809,79,53
155,Как школы заслуживают внимания,Kira Kaplan,физик,1,TED2010,2010,Long Beach,1,2010-11-04,2011-04-17,667,3390072,286,27
936,Зачем нейросети недооценены,Sara Petrov,математик,1,TED2010,2010,Long Beach,1,2010-11-25,2011-04-18,626,2272048,456,44
1688,Каким образом почва требуют пересмотра,Peter Kowalski,психолог,2,TED2011,2011,Long Beach,1,2011-03-18,2011-04-18,1059,8641388,2282,32
2344,Как мозг возвращаются,Tom Haugen,журналист,1,TED2011,2011,Long Beach,1,2011-03-10,2011-04-18,227,1705561,233,36
1545,Зачем мы обманывают нас,Tom Adeyemi,экономист,1,TED2010,2010,Long Beach,1,2010-12-07,2011-04-22,756,14930365,3112,49
57,Отчего эмоции возвращаются,Tom Iversen,художник,1,TED2011,2011,Long Beach,1,2011-04-01,2011-04-25,1048,887961,143,21
98,Зачем границы определяют будущее,Zoe Kowalski,эколог,1,TED2011,2011,Long Beach,1,2011-04-20,2011-05-03,1059,7982995,1062,24
1945,"Отчего дети опаснее, чем принято думать",Daniel Petrov,инженер,1,TEDGlobal 2011,2011,Edinburgh,1,2011-02-22,2011-05-10,410,211263,30,13
2056,Почему суды требуют пересмотра,Ines Meyer,,1,TED2011,2011,Long Beach,1,2011-02-22,2011-05-14,376,9985823,899,42
530,Каким образом энергия работают против нас,Noah Hassan,физик,1,TED2011,2011,Long Beach,1,2011-01-28,2011-05-22,392,13882595,2742,20
1000,Почему данные меняют всё,Tom Vargas,нейробиолог,1,TEDGlobal 2011,2011,Edinburgh,1,2011-04-07,2011-05-25,823,1056488,189,4
301,Зачем алгоритмы работают против нас,Ines Ferrari,дизайнер,1,TED2011,2011,Long Beach,1,2011-03-19,2011-05-28,1070,1832862,262,27
1739,"Почему врачи опаснее, чем принято думать",Hugo Okafor,нейробиолог,2,TED2011,2011,Long Beach,1,2011-03-13,2011-05-28,439,3541239,1225,44
115,"Почему эмоции опаснее, чем принято думать",John Berger,антрополог,2,TED2011,2011,Long Beach,1,2011-05-02,2011-05-29,434,5299321,651,9
1653,Что доверие стоят дороже,Elif Castillo,инженер,1,TED2010,2010,Long Beach,1,2010-11-15,2011-05-29,278,1681055,185,14
2181,Почему язык исчезают,David Almeida,историк,1,TEDGlobal 2011,2011,Edinburgh,1,2011-04-28,2011-05-31,551,887570,314,36
1419,Что деньги держат нас вместе,Felix Kaplan,психолог,1,TEDGlobal 2011,2011,Edinburgh,1,2011-02-04,2011-06-02,853,1515228,194,59
2229,"Зачем врачи сложнее, чем выглядят",Samir Fischer,дизайнер,1,TED2010,2010,Long Beach,1,2010-12-24,2011-06-03,835,2121999,279,17
2205,Отчего нейросети решают за нас,Yuki Kowalski,физик,1,TED2011,2011,Long Beach,1,2011-02-13,2011-06-07,943,19326333,6304,32
747,"Почему роботы сложнее, чем выглядят",Samir Fischer,психолог,1,TED2011,2011,Long Beach,1,2011-05-01,2011-06-08,796,2656545,682,17
2328,Каким образом климат обманывают нас,Lucia Kaplan,юрист,1,TEDGlobal 2011,2011,Edinburgh,1,2011-02-10,2011-06-14,347,1240439,196,32
745,Отчего почва возвращаются,Aisha Kowalski,эколог,1,TED2011,2011,Long Beach,1,2011-02-12,2011-06-19,1260,3644889,455,26
1745,Зачем выборы устроены не так,Ana Haugen,режиссёр,1,TED2011,2011,Long Beach,1,2011-04-07,2011-06-21,651,332983,57,15
811,Как данные определяют будущее,Zoe Vargas,философ,1,TED2011,2011,Long Beach,1,2011-03-11,2011-06-23,876,5348107,1275,27
1445,Каким образом выборы молчат,Yuki Petrov,экономист,1,TED2011,2011,Long Beach,1,2011-04-10,2011-06-24,813,3579013,486,11
456,Что суды держат нас вместе,Daniel Petrov,музыкант,1,TEDGlobal 2011,2011,Edinburgh,1,2011-06-10,2011-06-26,822,2522278,900,10
1110,Что медицина молчат,Jonas Moreau,инженер,1,TEDGlobal 2011,2011,Edinburgh,1,2011-01-26,2011-06-29,1045,1256442,253,43
400,Что вода заслуживают внимания,Aisha Petrov,эколог,1,TEDGlobal 2011,2011,Edinburgh,1,2011-04-15,2011-06-30,336,351374,76,17
1795,Зачем вирусы говорят правду,Carlos Nilsen,психолог,1,TED2011,2011,Long Beach,1,2011-03-25,2011-07-02,294,3011236,573,40
2195,Отчего память молчат,Ravi Ferrari,нейробиолог,1,TED2011,2011,Long Beach,1,2011-05-27,2011-07-04,576,1224665,142,38
1557,Как мозг молчат,Liam Castillo,астроном,1,TEDGlobal 2011,2011,Edinburgh,1,2011-06-05,2011-07-10,1041,4705361,426,24
2598,Почему космос держат нас вместе,Kira Meyer,архитектор,1,TED2011,2011,Long Beach,1,2011-06-04,2011-07-14,271,450353,105,38
1141,Как бактерии стоят дороже,Peter Okafor,инженер,1,TED2011,2011,Long Beach,1,2011-06-06,2011-07-18,676,5353938,567,19
201,Каким образом язык не работают,Sara Kaplan,художник,1,TEDGlobal 2011,2011,Edinburgh,1,2011-01-17,2011-07-21,289,6553379,1560,20
1431,Отчего музыка стали другими,Noah Moreau,архитектор,1,TEDGlobal 2011,2011,Edinburgh,1,2011-02-07,2011-07-29,409,732433,199,59
108,Отчего музыка обманывают нас,David Nakamura,врач,1,TEDGlobal 2011,2011,Edinburgh,1,2011-02-20,2011-07-31,274,3014917,313,26
1516,Отчего доверие нуждаются в защите,Mira Reyes,педагог,1,TED2011,2011,Long Beach,1,2011-06-27,2011-07-31,278,11664861,1763,31
1312,Отчего бактерии обманывают нас,Maria Hassan,философ,1,TEDGlobal 2011,2011,Edinburgh,1,2011-07-11,2011-08-03,851,2673180,323,48
859,Почему дети возвращаются,Daniel Almeida,экономист,1,TED2011,2011,Long Beach,1,2011-07-14,2011-08-05,205,1183531,105,33
598,Зачем города требуют пересмотра,Hugo Silva,юрист,1,TED2011,2011,Long Beach,1,2011-03-21,2011-08-06,924,4361457,550,28
2579,"Почему почва опаснее, чем принято думать",Nora Nakamura,юрист,1,TEDGlobal 2011,2011,Edinburgh,1,2011-03-02,2011-08-07,1069,3761882,491,19
61,Зачем врачи стоят дороже,Daniel Castillo,философ,1,TEDGlobal 2011,2011,Edinburgh,1,2011-06-07,2011-08-10,431,509996,76,24
2407,Почему города меняют всё,Yuki Fischer,историк,1,TEDGlobal 2011,2011,Edinburgh,1,2011-04-10,2011-08-11,320,6602397,902,30
2327,Зачем почва недооценены,Lena Fischer,математик,2,TED2011,2011,Long Beach,1,2011-01-28,2011-08-12,1059,5716475,832,44
648,Отчего данные недооценены,Maria Iversen,журналист,1,TED2011,2011,Long Beach,1,2011-07-24,2011-08-17,331,1553336,147,26
2045,"Зачем вирусы сложнее, чем выглядят",Aisha Castillo,врач,1,TED2011,2011,Long Beach,1,2011-07-28,2011-08-17,466,2069030,371,48
751,Отчего привычки заслуживают внимания,Iris Berger,музыкант,1,TEDGlobal 2011,2011,Edinburgh,1,2011-02-02,2011-08-19,386,1924556,175,33
1522,Каким образом роботы молчат,Felix Reyes,математик,1,TED2011,2011,Long Beach,1,2011-02-28,2011-08-21,629,3274036,477,14
1153,Почему океан заслуживают внимания,Nora Almeida,эколог,1,TED2011,2011,Long Beach,1,2011-05-22,2011-08-22,456,2814703,355,21
2135,Каким образом реки молчат,Yuki Almeida,врач,1,TEDGlobal 2011,2011,Edinburgh,1,2011-04-26,2011-08-26,612,5975281,1508,42
1676,"Почему вирусы сложнее, чем выглядят",Omar Berger,музыкант,1,TEDGlobal 2011,2011,Edinburgh,1,2011-08-03,2011-08-27,1027,8147970,2176,39
1636,Отчего язык определяют будущее,Noah Kowalski,журналист,1,TED2011,2011,Long Beach,1,2011-03-04,2011-08-31,622,1149520,101,18
527,Каким образом доверие заслуживают внимания,Ines Iversen,дизайнер,1,TEDGlobal 2011,2011,Edinburgh,1,2011-08-19,2011-09-03,885,6277946,1371,38
2714,Почему реки стали другими,Carlos Nakamura,инженер,1,TEDGlobal 2011,2011,Edinburgh,1,2011-05-06,2011-09-07,726,4165754,945,27
65,Как границы работают против нас,John Almeida,активист,2,TEDGlobal 2011,2011,Edinburgh,1,2011-06-27,2011-09-10,514,2797526,262,39
1751,"Почему время опаснее, чем принято думать",Ravi Meyer,программист,1,TEDGlobal 2011,2011,Edinburgh,1,2011-05-07,2011-09-10,779,2230797,216,45
2020,"Как врачи важнее, чем кажется",Samir Bauer,художник,1,TED2011,2011,Long Beach,1,2011-08-05,2011-09-10,1176,25335936,10580,61
2367,Как время не работают,Mira Ferrari,врач,2,TED2011,2011,Long Beach,1,2011-05-18,2011-09-18,371,2617975,532,32
573,Как сон возвращаются,Elif Dubois,активист,1,TEDGlobal 2011,2011,Edinburgh,1,2011-08-16,2011-09-20,1144,3518395,469,34
314,Отчего дети не работают,Maria Nakamura,педагог,1,TED2011,2011,Long Beach,1,2011-05-15,2011-09-23,1475,540377,150,49
391,Отчего доверие стали другими,Carlos Vargas,антрополог,1,TEDGlobal 2011,2011,Edinburgh,1,2011-06-27,2011-09-23,709,611897,88,35
645,Почему одиночество работают против нас,Alex Vargas,биолог,1,TEDGlobal 2011,2011,Edinburgh,1,2011-09-13,2011-09-24,773,1667982,276,40
2070,Почему космос молчат,Alex Haugen,,1,TED2011,2011,Long Beach,1,2011-03-14,2011-09-26,716,1016327,142,15
141,Как эмоции устроены не так,John Kowalski,,1,TED2011,2011,Long Beach,1,2011-04-04,2011-09-30,414,15087106,1380,33
170,Зачем деньги нуждаются в защите,Yuki Bauer,психолог,2,TED2011,2011,Long Beach,1,2011-04-16,2011-10-02,851,3169527,544,26
1338,Почему нейросети говорят правду,Ana Almeida,,1,TEDGlobal 2011,2011,Edinburgh,1,2011-03-22,2011-10-02,1213,10059767,1207,39
1681,Отчего школы держат нас вместе,Emma Kaplan,экономист,1,TEDGlobal 2011,2011,Edinburgh,1,2011-09-09,2011-10-02,474,3500176,1031,11
2021,Каким образом язык возвращаются,Sara Moreau,эколог,1,TEDGlobal 2011,2011,Edinburgh,1,2011-07-06,2011-10-02,1217,18174440,1642,25
2322,Отчего музыка держат нас вместе,Noah Meyer,философ,1,TEDGlobal 2011,2011,Edinburgh,1,2011-04-11,2011-10-03,577,208894,46,36
1009,Каким образом школы устроены не так,Liam Novak,программист,1,TEDGlobal 2011,2011,Edinburgh,1,2011-04-01,2011-10-04,371,942039,107,33
1651,Отчего врачи работают против нас,Tom Meyer,журналист,1,TED2011,2011,Long Beach,1,2011-04-20,2011-10-05,632,7431379,796,62
153,"Каким образом работа опаснее, чем принято думать",Kira Kaplan,педагог,2,TED2011,2011,Long Beach,1,2011-06-11,2011-10-06,375,2177203,208,44
1349,Зачем выборы зависят от нас,Iris Novak,психолог,1,TED2011,2011,Long Beach,1,2011-04-18,2011-10-09,957,6208012,1445,38
367,Что суды молчат,Tom Okafor,юрист,1,TED2011,2011,Long Beach,1,2011-09-19,2011-10-10,578,31012224,11131,38
473,Что привычки устроены не так,Hugo Adeyemi,предприниматель,2,TEDGlobal 2011,2011,Edinburgh,1,2011-05-10,2011-10-13,983,3446586,306,28
2245,Зачем мы определяют будущее,Tom Petrov,экономист,1,TEDGlobal 2011,2011,Edinburgh,1,2011-06-02,2011-10-13,276,4646546,752,26
1147,Что медицина заслуживают внимания,Mira Okafor,биолог,1,TEDGlobal 2011,2011,Edinburgh,1,2011-07-19,2011-10-14,1179,2219139,555,36
792,Отчего привычки работают против нас,Emma Vargas,педагог,1,TED2011,2011,Long Beach,1,2011-05-24,2011-10-15,781,257692,37,19
1558,Как роботы недооценены,Tom Haugen,педагог,1,TEDGlobal 2011,2011,Edinburgh,1,2011-07-06,2011-10-15,771,2388265,334,13
640,Каким образом почва стали другими,Felix Nakamura,философ,1,TED2011,2011,Long Beach,1,2011-08-15,2011-10-17,845,2033694,579,25
630,Почему доверие решают за нас,Sara Meyer,дизайнер,1,TED2011,2011,Long Beach,1,2011-09-18,2011-10-18,625,2723258,1013,33
1806,Почему суды недооценены,Lucia Moreau,педагог,1,TEDGlobal 2011,2011,Edinburgh,1,2011-06-26,2011-10-20,343,4892557,781,23
522,"Каким образом дети важнее, чем кажется",Lucia Okafor,математик,1,TEDGlobal 2011,2011,Edinburgh,1,2011-04-08,2011-10-21,473,8853340,3292,44
2218,Каким образом города держат нас вместе,Zoe Ferrari,биолог,1,TEDGlobal 2011,2011,Edinburgh,1,2011-07-22,2011-10-23,285,3983229,387,50
1877,Отчего бактерии стоят дороже,Elif Nilsen,архитектор,2,TEDGlobal 2011,2011,Edinburgh,1,2011-05-07,2011-10-27,401,6915700,734,28
2142,Что границы стали другими,Ravi Meyer,философ,1,TEDGlobal 2011,2011,Edinburgh,1,2011-06-22,2011-10-27,1203,497366,147,9
