object_id,name,category,is_chain,district,okrug,seats,avg_bill,rating,reviews_count,hours,lat,lon
51,Липовый навес,ресторан,0,Митино,СЗАО,79,3630.0,4.5,7,10:00-02:00,55.713052,37.58382
52,Дымный дом,фастфуд,0,Арбат,ЦАО,,810.0,3.9,47,09:00-23:00,55.723239,37.573444
53,Стардог!s,фастфуд,1,Арбат,ЦАО,31,520.0,4.7,73,09:00-23:00,55.658089,37.752387
54,Городской поднос,пиццерия,0,Замоскворечье,ЦАО,нет данных,2170.0,3.9,3,круглосуточно,55.751459,37.503902
55,Зелёный дворик,кафе,0,Теплый Стан,ЮЗАО,44,580.0,3.8,71,12:00-00:00,55.854822,37.484698
56,Дымный сад,кафе,0,Царицыно,ЮАО,20,540.0,4.4,17,нет данных,55.667233,37.603334
57,Вечерний поднос,кафе,0,Тёплый Стан,ЮЗАО,46,390.0,3.8,13,07:00-21:00,55.72173,37.537806
58,Северный переулок,ресторан,0,Митино,СЗАО,62,1900.0,4.8,4,11:00-23:00,55.77467,37.542087
59,Прайм,СТОЛОВАЯ,1,Даниловский,ЮАО,119,н/д,4.4,190,09:00-23:00,55.623281,37.36718
60,Синий базар,ресторан,0,Отрадное,СВАО,103,1960.0,4.0,22,12:00-00:00,55.657289,37.5694
61,Ореховый переулок,КАФЕ,0,Митино,СЗАО,40,580.0,3.8,31,09:00-23:00,55.668944,37.53765
62,Дымный квартал,фастфуд,0,Северное Тушино,СЗАО,23,,4.4,122,12:00-00:00,55.680231,37.594967
63,Летний фонарь,кофейня,0,Измайлово,ВАО,13,нет данных,4.5,35,10:00-22:00,55.67349,37.318545
64,Кулинарная лавка,ФАСТФУД,1,Царицыно,ЮАО,50,390.0,4.1,565,10:00-22:00,55.648438,37.659479
65,Медный квартал,БАР,0,Царицыно,ЮАО,47,1290.0,4.1,38,09:00-23:00,55.744342,37.52844
66,Летний мост,ресторан,0,Царицыно,ЮАО,85,1520.0,3.8,147,10:00-02:00,55.667396,37.567353
67,Липовый сад,фастфуд,0,Аэропорт,САО,26,520.0,4.2,5,12:00-00:00,55.660449,37.709094
68,Зелёный квартал,кофейня,0,Пресненский,ЦАО,16,1490.0,4.1,9,,55.806779,37.734305
69,Стардог!s,булочная,1,Пресненский,ЦАО,19,510.0,4.0,407,,55.697645,37.801539
70,Шоколадница,кафе,1,Хорошёво-Мнёвники,СЗАО,49,600.0,5.0,118,07:00-21:00,55.696146,37.528761
71,Тёплый уголок,ресторан,0,Басманный,ЦАО,93,4020.0,4.7,19,08:00-22:00,55.697864,37.805128
72,Летний подвал,кафе,0,Перово,ВАО,,890.0,4.2,29,10:00-02:00,55.696493,37.686441
73,Зелёный базар,кафе,0,Замоскворечье,ЦАО,35,1110.0,4.1,10,07:00-21:00,55.986831,37.447625
74,Липовый мост,кафе,0,Замоскворечье,ЦАО,53,1020.0,4.2,35,12:00-00:00,55.71651,37.751797
75,Красный дом,ресторан,0,Перово,ВАО,115,1610.0,4.6,97,10:00-02:00,55.719617,37.74867
76,Домашний терраса,ресторан,0,Отрадное,СВАО,147,1390.0,4.0,38,11:00-23:00,55.819921,37.516258
77,Кулинарная лавка,кафе,1,Мещанский,ЦАО,12,2000.0,4.2,17,08:00-22:00,55.723962,37.591045
78,Додо Пицца,кофейня,1,Щукино,СЗАО,33,360.0,3.7,30,07:00-21:00,55.760236,37.722776
79,Ореховый дом,кафе,0,Северное Тушино,СЗАО,62,570.0,4.7,117,круглосуточно,55.811323,37.724869
80,Красный чайник,кафе,0,Чертаново Южное,ЮАО,,390.0,3.8,116,09:00-23:00,55.775909,37.59418
81,Первый сад,булочная,0,Гагаринский,ЮЗАО,13,370.0,4.4,231,09:00-23:00,55.727057,37.574625
82,Северный стол,кафе,0,Бутырский,СВАО,54,670.0,3.6,108,круглосуточно,55.567153,37.455571
83,Прайм,фастфуд,1,Дорогомилово,ЗАО,,440.0,4.2,120,08:00-22:00,55.708352,37.673856
84,Вилка-Ложка,фастфуд,1,Сокол,САО,50,560.0,4.1,128,12:00-00:00,55.695075,37.713644
85,Хлебный мост,кафе,0,Митино,СЗАО,52,1080.0,4.1,8,10:00-02:00,55.738698,37.920316
86,Шоколадница,кофейня,1,Басманный,ЦАО,21,540.0,4.3,6,08:00-22:00,55.694981,37.666532
87,Уютный квартал,СТОЛОВАЯ,0,Аэропорт,САО,70,180000,3.6,85,07:00-21:00,55.650277,37.634063
88,Старый подвал,пиццерия,0,Чертаново Южное,ЮАО,34,820.0,4.5,7,10:00-02:00,55.857528,37.521748
89,Теремок,ресторан,1,Аэропорт,САО,51,1830.0,4.4,46,нет данных,55.739899,37.651822
90,Городской уголок,ресторан,0,Дорогомилово,ЗАО,67,4360.0,4.7,37,нет данных,55.728903,37.662372
91,Городской фонарь,булочная,0,Кузьминки,ЮВАО,16,300.0,4.0,204,10:00-02:00,55.773624,37.703792
92,Додо Пицца,фастфуд,1,Бирюлёво Западное,ЮАО,18,430.0,3.6,77,07:00-21:00,55.621352,37.450038
93,Ореховый подвал,кафе,0,Теплый Стан,ЮЗАО,82,720.0,3.5,9,11:00-23:00,55.60748,37.86396
94,Шоколадница,фастфуд,1,Тверской,ЦАО,25,660.0,4.3,1197,круглосуточно,55.819051,37.799618
95,One Price Coffee,ресторан,1,Аэропорт,САО,62,4390.0,4.9,104,09:00-23:00,55.904415,37.68335
96,Белый дом,кафе,0,Арбат,ЦАО,53,1440.0,4.1,307,10:00-02:00,55.699854,37.502661
97,Тёплый дом,кафе,0,Дорогомилово,ЗАО,75,1490.0,,9,12:00-00:00,55.74892,37.651247
98,Старый колодец,фастфуд,0,Щукино,СЗАО,24,430.0,4.4,93,08:00-22:00,55.728239,37.646193
99,Северный подвал,кофейня,0,Отрадное,СВАО,,460.0,4.0,37,11:00-23:00,55.909172,37.55108
100,Ореховый навес,фастфуд,0,Бабушкинский,СВАО,,310.0,3.8,27,08:00-22:00,55.797632,37.585234
101,Северный квартал,кафе,0,Текстильщики,ЮВАО,64,1130.0,3.8,92,10:00-22:00,55.611249,37.757034
102,Летний терраса,фастфуд,0,Донской,ЮАО,28,420.0,3.3,37,круглосуточно,55.8511,37.792875
103,Северный склон,кафе,0,Ясенево,ЮЗАО,37,850.0,4.5,32,09:00-23:00,55.646589,37.608717
104,Вилка-Ложка,кафе,1,Тверской,ЦАО,21,1850.0,3.9,116,10:00-02:00,55.677076,37.696785
105,Городской балкон,столовая,0,Митино,СЗАО,149,нет данных,3.3,34,08:00-22:00,55.682201,37.685134
106,Северный сад,кафе,0,Тверской,ЦАО,70,1650.0,3.8,18,11:00-23:00,55.732073,37.497041
107,Прайм,кофейня,1,Царицыно,ЮАО,27,530.0,3.4,41,круглосуточно,55.605329,37.491872
108,Уютный поднос,кафе,0,Бабушкинский,СВАО,38,1000.0,4.3,50,08:00-22:00,55.846392,37.773541
109,Теремок,кофейня,1,Басманный,ЦАО,7,1350.0,4.1,76,07:00-21:00,55.84064,37.533754
110,Синий очаг,бар,0,Аэропорт,САО,54,1650.0,4.0,9,нет данных,55.795027,37.625222
111,Летний стол,кафе,0,Басманный,ЦАО,72,нет данных,3.5,304,круглосуточно,55.758504,37.745809
112,Уютный навес,КАФЕ,0,Донской,ЮАО,45,1520.0,3.9,12,07:00-21:00,55.8426,37.796404
113,Первый фонарь,кафе,0,Строгино,СЗАО,60,870.0,3.6,17,10:00-02:00,55.679705,37.658944
114,Тёплый чайник,кофейня,0,Тверской,ЦАО,24,640.0,3.9,39,07:00-21:00,55.929582,37.758831
115,Кулинарная лавка,ресторан,1,Сокол,САО,82,2180.0,3.8,35,11:00-23:00,55.859586,37.749203
116,Северный очаг,кафе,0,Отрадное,СВАО,46,,4.4,1,11:00-23:00,55.688362,37.541697
117,Тихий чайник,кафе,0,Бутырский,СВАО,25,1020.0,3.5,20,круглосуточно,55.74245,37.633456
118,Летний чайник,кафе,0,Тверской,ЦАО,31,нет данных,4.3,26,10:00-02:00,55.886709,37.71464
119,Летний уголок,кофейня,0,Северное Тушино,СЗАО,21,360.0,4.6,65,10:00-22:00,56.01774,37.676538
120,Кулинарная лавка,кофейня,1,Отрадное,СВАО,20,360.0,3.7,181,09:00-23:00,55.709781,37.670619
121,Крошка Картошка,кафе,1,Тверской,ЦАО,,нет данных,4.5,179,09:00-23:00,55.829618,37.662639
122,Липовый дворик,бар,0,Измайлово,ВАО,60,1130.0,4.5,86,10:00-02:00,55.739788,37.625508
123,Тихий навес,ресторан,0,Чертаново Южное,ЮАО,4,3060.0,4.4,86,11:00-23:00,55.78382,37.480229
124,Вилка-Ложка,ресторан,1,Мещанский,ЦАО,19,3750.0,5.0,5,круглосуточно,55.808351,37.745285
125,Дымный стол,ресторан,0,Соколиная Гора,ВАО,,2920.0,4.7,9,10:00-02:00,55.638902,37.832408
126,Уютный стол,кафе,0,Тверской,ЦАО,19,1800.0,3.5,36,11:00-23:00,55.864106,37.571532
127,Медный навес,ресторан,0,Щукино,СЗАО,125,3120.0,4.1,41,09:00-23:00,55.946667,37.757255
128,Додо Пицца,пиццерия,1,Бутырский,СВАО,25,1080.0,4.6,62,09:00-23:00,55.830621,37.40138
129,Кулинарная лавка,кафе,1,Дорогомилово,ЗАО,4,780.0,3.5,415,10:00-22:00,55.663697,37.516707
130,Липовый терраса,кафе,0,Хамовники,ЦАО,34,1280.0,3.1,27,08:00-22:00,55.70148,37.619169
131,Летний очаг,кофейня,0,Аэропорт,САО,6,440.0,4.7,44,круглосуточно,55.716462,37.692752
132,Белый фонарь,кофейня,0,Гагаринский,ЮЗАО,15,640.0,4.1,85,круглосуточно,55.890421,37.629393
133,Домашний поднос,ресторан,0,Таганский,ЦАО,54,4470.0,4.6,7,10:00-02:00,55.877284,37.46579
134,Кулинарная лавка,фастфуд,1,Измайлово,ВАО,31,360.0,4.8,340,12:00-00:00,55.954751,37.728485
135,Вилка-Ложка,кофейня,1,Таганский,ЦАО,15,630.0,3.7,841,07:00-21:00,55.796281,37.484111
136,Летний дом,булочная,0,Мещанский,ЦАО,18,590.0,4.1,11,08:00-22:00,55.678015,37.692658
137,Хлебный сад,кафе,0,Замоскворечье,ЦАО,30,1490.0,4.2,47,н/д,55.715903,37.756296
138,Круглый дом,пиццерия,0,Хорошево-Мневники,СЗАО,28,760.0,3.7,111,11:00-23:00,55.774494,37.635878
139,Липовый поднос,пиццерия,0,Кузьминки,ЮВАО,21,1160.0,4.3,212,10:00-02:00,55.774788,37.540603
140,Тёплый очаг,кофейня,0,Таганский,ЦАО,10,740.0,4.6,17,круглосуточно,55.73586,37.646288
141,Уютный причал,кофейня,0,Академический,ЮЗАО,23,780.0,4.6,31,круглосуточно,55.763496,37.592777
142,Тихий балкон,ресторан,0,Соколиная Гора,ВАО,40,2190.0,3.9,155,10:00-22:00,55.677738,37.628361
143,Вечерний базар,фастфуд,0,Ховрино,САО,16,310.0,3.7,10,10:00-22:00,55.777308,37.501482
144,Старый склон,кофейня,0,Дорогомилово,ЗАО,6,330.0,4.2,43,10:00-02:00,55.669922,37.649932
145,Медный поднос,РЕСТОРАН,0,Бутырский,СВАО,74,1670.0,5.0,123,08:00-22:00,55.843945,37.569031
146,Ореховый чайник,фастфуд,0,Замоскворечье,ЦАО,41,550.0,3.4,23,11:00-23:00,55.625375,37.635939
147,Кофе Хауз,фастфуд,1,Чертаново Южное,ЮАО,30,190.0,4.0,234,12:00-00:00,55.620098,37.424725
148,Первый балкон,фастфуд,0,Тверской,ЦАО,18,980.0,4.3,19,07:00-21:00,55.902805,37.583763
149,Старый очаг,кофейня,0,Чертаново Южное,ЮАО,нет данных,420.0,3.8,61,09:00-23:00,55.76065,37.680688
150,Хлебный фонарь,кафе,0,Перово,ВАО,,870.0,,809,10:00-22:00,55.774452,37.744583
151,Стардог!s,кофейня,1,Таганский,ЦАО,14,940.0,3.9,98,11:00-23:00,55.752297,37.448513
152,Кулинарная лавка,столовая,1,Хамовники,ЦАО,113,860.0,4.5,62,11:00-23:00,55.642111,37.509784
153,Ореховый дворик,булочная,0,Замоскворечье,ЦАО,7,,3.6,4,11:00-23:00,55.648271,37.668771
154,Дымный очаг,кофейня,0,Митино,СЗАО,20,490.0,3.2,34,10:00-02:00,55.694711,37.575675
155,Вечерний склон,пиццерия,0,Люблино,ЮВАО,15,500.0,3.7,95,12:00-00:00,55.798272,37.593057
156,Белый балкон,ресторан,0,Отрадное,СВАО,91,2300.0,4.1,24,09:00-23:00,55.765173,37.777487
157,One Price Coffee,БУЛОЧНАЯ,1,Люблино,ЮВАО,15,250.0,4.4,597,07:00-21:00,55.979773,37.415129
158,Медный сад,столовая,0,Аэропорт,САО,143,380.0,5.0,13,круглосуточно,55.644535,37.592954
159,Шоколадница,кофейня,1,Сокол,САО,9,650.0,4.1,500,08:00-22:00,55.75005,37.715611
160,Зелёный дом,фастфуд,0,Басманный,ЦАО,17,800.0,4.2,26,07:00-21:00,55.910296,37.611426
161,Кулинарная лавка,кафе,1,Гагаринский,ЮЗАО,45,1160.0,3.6,656,11:00-23:00,55.745921,37.6708
162,One Price Coffee,фастфуд,1,Академический,ЮЗАО,47,430.0,4.5,49,11:00-23:00,55.745648,37.558809
163,Хлебный терраса,кофейня,0,Дорогомилово,ЗАО,32,1110.0,3.6,9,11:00-23:00,55.703361,37.885743
164,One Price Coffee,кофейня,1,Марьино,ЮВАО,38,нет данных,3.4,38,10:00-02:00,55.913107,37.653081
165,Кулинарная лавка,ресторан,1,Ховрино,САО,80,3070.0,3.6,327,10:00-02:00,55.895695,37.698402
166,Домашний навес,кафе,0,Басманный,ЦАО,,1280.0,3.5,21,11:00-23:00,55.690641,37.395294
167,Кофе Хауз,пиццерия,1,Тверской,ЦАО,32,2410.0,4.4,17,,55.77058,37.87614
168,Дымный подвал,ресторан,0,Бабушкинский,СВАО,104,2460.0,3.6,5,09:00-23:00,55.620493,37.609448
169,Дымный уголок,кафе,0,Перово,ВАО,,870.0,5.0,15,09:00-23:00,55.824012,37.792324
170,Стардог!s,бар,1,Перово,ВАО,16,970.0,нет данных,10,09:00-23:00,55.711863,37.661066
171,Круглый дворик,ресторан,0,Кузьминки,ЮВАО,,2280.0,4.1,2,н/д,55.86388,37.592959
172,Уютный терраса,кафе,0,Тверской,ЦАО,,2170.0,4.0,51,09:00-23:00,55.668396,37.695439
173,Шоколадница,бар,1,Тверской,ЦАО,22,3880.0,4.6,739,нет данных,55.66103,37.718953
174,One Price Coffee,кафе,1,Хамовники,ЦАО,43,2260.0,4.5,19,11:00-23:00,55.978893,37.626209
175,Медный склон,ресторан,0,Строгино,СЗАО,91,3160.0,4.8,12,,55.784649,37.527931
176,Городской квартал,КАФЕ,0,Басманный,ЦАО,36,1550.0,3.4,28,09:00-23:00,55.776891,37.70048
177,Белый уголок,столовая,0,Басманный,ЦАО,65,740.0,,82,10:00-02:00,55.857986,37.263667
178,Додо Пицца,кофейня,1,Кузьминки,ЮВАО,16,640.0,2.8,90,07:00-21:00,55.67535,37.714179
179,Белый поднос,кафе,0,Соколиная Гора,ВАО,44,630.0,4.3,30,08:00-22:00,55.570325,37.420532
180,Тихий дом,ресторан,0,Дорогомилово,ЗАО,57,2270.0,4.1,31,11:00-23:00,55.78352,37.710097
181,Шоколадница,фастфуд,1,Кузьминки,ЮВАО,13,570.0,3.3,80,10:00-02:00,55.704089,37.766643
182,One Price Coffee,бар,1,Таганский,ЦАО,48,1570.0,3.3,90,11:00-23:00,55.844528,37.714631
183,Кофе Хауз,кофейня,1,Люблино,ЮВАО,30,400.0,4.1,20,круглосуточно,55.818852,37.495075
184,Круглый переулок,пиццерия,0,Тверской,ЦАО,23,1870.0,3.7,273,09:00-23:00,55.716989,37.521561
185,Медный подвал,ресторан,0,Арбат,ЦАО,29,4030.0,4.7,75,10:00-22:00,55.780001,37.577166
186,Додо Пицца,пиццерия,1,Отрадное,СВАО,49,360.0,4.4,12,12:00-00:00,55.801375,37.750807
187,Тёплый дворик,кафе,0,Даниловский,ЮАО,9,510.0,3.7,42,10:00-02:00,55.722259,37.522592
188,Медный причал,кафе,0,Замоскворечье,ЦАО,35,1490.0,4.5,24,10:00-22:00,55.731993,37.577437
189,Кофе Хауз,фастфуд,1,Тверской,ЦАО,10,420.0,4.5,145,12:00-00:00,55.7689,37.346366
190,Теремок,фастфуд,1,Пресненский,ЦАО,22,1020.0,3.9,1864,08:00-22:00,55.736197,37.636076
191,Зелёный подвал,фастфуд,0,Щукино,СЗАО,21,490.0,3.9,32,08:00-22:00,55.70272,37.755944
192,Кофе Хауз,ПИЦЦЕРИЯ,1,Тверской,ЦАО,33,нет данных,3.9,76,08:00-22:00,55.742392,37.703768
193,Тихий склон,КАФЕ,0,Таганский,ЦАО,34,1340.0,3.4,16,,55.742391,37.60907
194,Вечерний мост,кафе,0,Митино,СЗАО,65,1340.0,4.3,6,н/д,55.84581,37.682066
195,Белый навес,кафе,0,Басманный,ЦАО,32,1390.0,4.3,6,11:00-23:00,55.729619,37.389272
196,Тёплый колодец,фастфуд,0,Таганский,ЦАО,8,570.0,3.2,8,,55.759329,37.566726
197,Стардог!s,фастфуд,1,Перово,ВАО,18,270.0,4.1,156,круглосуточно,55.671117,37.567354
198,Синий чайник,ресторан,0,Хамовники,ЦАО,100,4470.0,н/д,88,10:00-02:00,55.655468,37.89897
199,Кулинарная лавка,пиццерия,1,Отрадное,СВАО,23,950.0,4.1,54,,55.804831,37.4282
200,Дымный склон,ресторан,0,Замоскворечье,ЦАО,76,10500.0,4.6,28,07:00-21:00,55.843053,37.571768
201,Прайм,кофейня,1,Арбат,ЦАО,нет данных,1450.0,3.2,73,11:00-23:00,55.665537,37.748971
202,Первый квартал,кафе,0,Перово,ВАО,48,820.0,4.5,22,10:00-22:00,55.71132,37.647549
203,Белый сад,фастфуд,0,Хамовники,ЦАО,40,670.0,3.6,29,10:00-22:00,55.943106,37.726588
204,Первый причал,кафе,0,Митино,СЗАО,62,930.0,3.9,15,10:00-02:00,55.616125,37.747537
205,Зелёный балкон,пиццерия,0,Ясенево,ЮЗАО,,930.0,3.7,27,11:00-23:00,55.698458,37.544653
206,Тихий стол,фастфуд,0,Ясенево,ЮЗАО,н/д,750.0,3.7,61,09:00-23:00,55.818895,37.647539
207,Синий терраса,ресторан,0,Бирюлёво Западное,ЮАО,56,2100.0,4.3,127,09:00-23:00,55.933092,37.501378
208,Дымный дворик,кофейня,0,Гагаринский,ЮЗАО,нет данных,770.0,3.4,75,12:00-00:00,55.781982,37.641239
209,Городской дом,ресторан,0,Измайлово,ВАО,151,3920.0,3.5,54,08:00-22:00,55.821464,37.680237
210,Летний переулок,ресторан,0,Бабушкинский,СВАО,100,1740.0,4.5,1,09:00-23:00,55.685491,37.703744
211,Синий переулок,фастфуд,0,Арбат,ЦАО,17,880.0,4.1,26,08:00-22:00,55.782931,37.521447
212,Вилка-Ложка,фастфуд,1,Соколиная Гора,ВАО,,380.0,3.2,159,н/д,55.804954,37.662182
213,Липовый колодец,кафе,0,Люблино,ЮВАО,н/д,750.0,4.5,5,10:00-02:00,55.716855,37.529585
214,Старый дворик,кафе,0,Хамовники,ЦАО,79,1910.0,4.3,119,10:00-22:00,55.928049,37.557835
215,Стардог!s,бар,1,Арбат,ЦАО,66,2890.0,4.2,23,11:00-23:00,55.883747,37.429509
216,Медный переулок,КОФЕЙНЯ,0,Люблино,ЮВАО,10,300.0,,59,,55.69004,37.669148
217,Круглый сад,булочная,0,Басманный,ЦАО,8,570.0,4.2,38,10:00-02:00,55.766773,37.653108
218,Уютный переулок,кафе,0,Дорогомилово,ЗАО,41,2740.0,5.0,43,07:00-21:00,55.829547,37.593203
219,Теремок,фастфуд,1,Строгино,СЗАО,,320.0,4.2,38,10:00-22:00,55.589169,37.657032
220,Летний причал,кафе,0,Дорогомилово,ЗАО,44,670.0,4.4,45,07:00-21:00,55.85645,37.616867
221,Вечерний уголок,КАФЕ,0,Отрадное,СВАО,,700.0,4.4,1,10:00-22:00,55.783219,37.467282
222,Белый причал,булочная,0,Северное Тушино,СЗАО,6,170.0,4.8,51,круглосуточно,55.757717,37.540275
223,Уютный уголок,кофейня,0,Царицыно,ЮАО,нет данных,460.0,5.0,370,круглосуточно,55.66848,37.647256
224,Тихий дворик,фастфуд,0,Гагаринский,ЮЗАО,21,550.0,4.3,43,н/д,55.687185,37.688736
225,Прайм,булочная,1,Пресненский,ЦАО,7,450.0,н/д,182,09:00-23:00,55.701361,37.682962
226,Синий дом,булочная,0,Строгино,СЗАО,9,200.0,4.3,21,12:00-00:00,55.738724,37.645104
227,Первый переулок,КОФЕЙНЯ,0,Сокол,САО,9,670.0,3.7,208,11:00-23:00,55.680128,37.64799
228,Городской дворик,бар,0,Хорошево-Мневники,СЗАО,39,830.0,4.0,105,11:00-23:00,55.612775,37.58315
229,Домашний стол,ресторан,0,Ясенево,ЮЗАО,82,,4.5,9,12:00-00:00,55.743212,37.724612
230,Домашний колодец,кафе,0,Мещанский,ЦАО,н/д,1000.0,4.3,45,12:00-00:00,55.754228,37.489712
231,Медный дворик,бар,0,Академический,ЮЗАО,54,1540.0,4.4,4,12:00-00:00,55.780274,37.570688
232,Теремок,пиццерия,1,Ховрино,САО,30,820.0,4.0,540,круглосуточно,55.569818,37.729045
233,Прайм,пиццерия,1,Северное Тушино,СЗАО,33,нет данных,4.7,13,08:00-22:00,55.773981,37.468549
234,Вечерний квартал,РЕСТОРАН,0,Северное Тушино,СЗАО,108,4300.0,4.6,34,08:00-22:00,55.627518,37.769245
235,Первый очаг,кафе,0,Хорошево-Мневники,СЗАО,65,0,4.1,12,круглосуточно,55.745625,37.660014
236,Северный терраса,кафе,0,Соколиная Гора,ВАО,66,1070.0,3.8,35,10:00-02:00,55.71922,37.618469
237,Хлебный причал,кафе,0,Басманный,ЦАО,43,970.0,3.8,26,10:00-22:00,55.729303,37.681658
238,Вечерний навес,кафе,0,Арбат,ЦАО,61,1580.0,3.4,113,,55.793754,37.735801
